hourly,promotion_id,total_order_count,order_count,inorganic_ratio
1,promo_61,10,10,1.0
1,promo_63,20,20,1.0
1,promo_64,21,21,1.0
1,promo_65,21,21,1.0
1,promo_66,9,9,1.0
1,promo_67,11,11,1.0
1,promo_68,33,33,1.0
1,promo_69,17,17,1.0
1,promo_7,8,8,1.0
1,promo_70,16,16,1.0
1,promo_71,18,18,1.0
1,promo_72,15,15,1.0
1,promo_73,25,25,1.0
1,promo_74,18,18,1.0
1,promo_75,13,13,1.0
1,promo_76,26,26,1.0
1,promo_77,18,18,1.0
1,promo_78,29,29,1.0
1,promo_79,7,7,1.0
1,promo_8,5,5,1.0
1,promo_80,19,19,1.0
1,promo_81,14,14,1.0
1,promo_82,15,15,1.0
1,promo_83,27,27,1.0
1,promo_84,19,19,1.0
1,promo_85,19,19,1.0
1,promo_86,14,14,1.0
1,promo_87,14,14,1.0
1,promo_88,29,29,1.0
1,promo_9,8,8,1.0
1,promo_90,30,30,1.0
1,promo_91,28,28,1.0
1,promo_92,28,28,1.0
1,promo_93,7,7,1.0
1,promo_94,26,26,1.0
1,promo_95,18,18,1.0
1,promo_96,23,23,1.0
1,promo_97,14,14,1.0
1,promo_98,35,35,1.0
1,promo_99,12,12,1.0
2,promo_0,13,13,1.0
2,promo_1,18,18,1.0
2,promo_10,24,24,1.0
2,promo_11,32,32,1.0
2,promo_12,25,25,1.0
2,promo_13,25,25,1.0
2,promo_14,15,15,1.0
2,promo_15,23,23,1.0
2,promo_16,35,35,1.0
2,promo_17,17,17,1.0
2,promo_18,21,21,1.0
2,promo_19,8,8,1.0
2,promo_2,8,8,1.0
2,promo_20,20,20,1.0
2,promo_21,29,29,1.0
2,promo_22,21,21,1.0
2,promo_23,6,6,1.0
2,promo_24,13,13,1.0
2,promo_25,19,19,1.0
2,promo_26,8,8,1.0
2,promo_27,10,10,1.0
2,promo_28,39,39,1.0
2,promo_29,6,6,1.0
2,promo_3,31,31,1.0
2,promo_30,21,21,1.0
2,promo_31,26,26,1.0
2,promo_32,4,4,1.0
2,promo_33,18,18,1.0
2,promo_34,10,10,1.0
2,promo_35,15,15,1.0
2,promo_36,23,23,1.0
2,promo_37,19,19,1.0
2,promo_38,20,20,1.0
2,promo_39,28,28,1.0
2,promo_4,19,19,1.0
2,promo_40,20,20,1.0
2,promo_41,29,29,1.0
2,promo_42,8,8,1.0
2,promo_43,15,15,1.0
2,promo_44,16,16,1.0
2,promo_45,20,20,1.0
2,promo_46,30,30,1.0
2,promo_47,8,8,1.0
2,promo_48,24,24,1.0
2,promo_49,17,17,1.0
2,promo_5,8,8,1.0
2,promo_50,24,24,1.0
2,promo_51,19,19,1.0
2,promo_52,16,16,1.0
2,promo_53,36,36,1.0
2,promo_54,20,20,1.0
2,promo_55,33,33,1.0
2,promo_56,25,25,1.0
2,promo_57,17,17,1.0
2,promo_58,11,11,1.0
2,promo_59,25,25,1.0
2,promo_6,16,16,1.0
2,promo_60,14,14,1.0
2,promo_61,9,9,1.0
2,promo_63,23,23,1.0
2,promo_64,16,16,1.0
2,promo_65,31,31,1.0
2,promo_66,15,15,1.0
2,promo_67,16,16,1.0
2,promo_68,17,17,1.0
2,promo_69,16,16,1.0
2,promo_7,11,11,1.0
2,promo_70,10,10,1.0
2,promo_71,22,22,1.0
2,promo_72,18,18,1.0
2,promo_73,36,36,1.0
2,promo_74,18,18,1.0
2,promo_75,11,11,1.0
2,promo_76,22,22,1.0
2,promo_77,10,10,1.0
2,promo_78,32,32,1.0
2,promo_79,6,6,1.0
2,promo_8,7,7,1.0
2,promo_80,31,31,1.0
2,promo_81,26,26,1.0
2,promo_82,12,12,1.0
2,promo_83,33,33,1.0
2,promo_84,15,15,1.0
2,promo_85,35,35,1.0
2,promo_86,16,16,1.0
2,promo_87,9,9,1.0
2,promo_88,16,16,1.0
2,promo_9,7,7,1.0
2,promo_90,28,28,1.0
2,promo_91,31,31,1.0
2,promo_92,13,13,1.0
2,promo_93,5,5,1.0
2,promo_94,28,28,1.0
2,promo_95,25,25,1.0
2,promo_96,24,24,1.0
2,promo_97,10,10,1.0
2,promo_98,27,27,1.0
2,promo_99,5,5,1.0
3,promo_0,21,21,1.0
3,promo_1,12,12,1.0
3,promo_10,27,27,1.0
3,promo_11,28,28,1.0
3,promo_12,30,30,1.0
3,promo_13,11,11,1.0
3,promo_14,22,22,1.0
3,promo_15,31,31,1.0
3,promo_16,30,30,1.0
3,promo_17,21,21,1.0
3,promo_18,17,17,1.0
3,promo_19,5,5,1.0
3,promo_2,10,10,1.0
3,promo_20,19,19,1.0
3,promo_21,17,17,1.0
3,promo_22,24,24,1.0
3,promo_23,13,13,1.0
3,promo_24,17,17,1.0
3,promo_25,17,17,1.0
3,promo_26,13,13,1.0
3,promo_27,14,14,1.0
3,promo_28,28,28,1.0
3,promo_29,10,10,1.0
3,promo_3,33,33,1.0
3,promo_30,25,25,1.0
3,promo_31,31,31,1.0
3,promo_32,11,11,1.0
3,promo_33,23,23,1.0
3,promo_34,8,8,1.0
3,promo_35,22,22,1.0
3,promo_36,22,22,1.0
3,promo_37,19,19,1.0
3,promo_38,31,31,1.0
3,promo_39,26,26,1.0
3,promo_4,18,18,1.0
3,promo_40,20,20,1.0
3,promo_41,25,25,1.0
3,promo_42,18,18,1.0
3,promo_43,24,24,1.0
3,promo_44,19,19,1.0
3,promo_45,14,14,1.0
3,promo_46,30,30,1.0
3,promo_47,9,9,1.0
3,promo_48,25,25,1.0
3,promo_49,20,20,1.0
3,promo_5,11,11,1.0
3,promo_50,15,15,1.0
3,promo_51,27,27,1.0
3,promo_52,10,10,1.0
3,promo_53,23,23,1.0
3,promo_54,15,15,1.0
3,promo_55,30,30,1.0
3,promo_56,18,18,1.0
3,promo_57,25,25,1.0
3,promo_58,9,9,1.0
3,promo_59,17,17,1.0
3,promo_6,11,11,1.0
3,promo_60,28,28,1.0
3,promo_61,8,8,1.0
3,promo_63,15,15,1.0
3,promo_64,11,11,1.0
3,promo_65,23,23,1.0
3,promo_66,14,14,1.0
3,promo_67,17,17,1.0
3,promo_68,26,26,1.0
3,promo_69,14,14,1.0
3,promo_7,10,10,1.0
3,promo_70,10,10,1.0
3,promo_71,28,28,1.0
3,promo_72,22,22,1.0
3,promo_73,21,21,1.0
3,promo_74,17,17,1.0
3,promo_75,16,16,1.0
3,promo_76,35,35,1.0
3,promo_77,24,24,1.0
3,promo_78,26,26,1.0
3,promo_79,5,5,1.0
3,promo_8,11,11,1.0
3,promo_80,17,17,1.0
3,promo_81,17,17,1.0
3,promo_82,18,18,1.0
3,promo_83,29,29,1.0
3,promo_84,20,20,1.0
3,promo_85,17,17,1.0
3,promo_86,4,4,1.0
3,promo_87,10,10,1.0
3,promo_88,18,18,1.0
3,promo_9,5,5,1.0
3,promo_90,35,35,1.0
3,promo_91,26,26,1.0
3,promo_92,21,21,1.0
3,promo_93,6,6,1.0
3,promo_94,25,25,1.0
3,promo_95,23,23,1.0
3,promo_96,25,25,1.0
3,promo_97,5,5,1.0
3,promo_98,18,18,1.0
3,promo_99,6,6,1.0
4,promo_0,13,13,1.0
4,promo_1,15,15,1.0
4,promo_10,24,24,1.0
4,promo_11,31,31,1.0
4,promo_12,30,30,1.0
4,promo_13,13,13,1.0
4,promo_14,18,18,1.0
4,promo_15,28,28,1.0
4,promo_16,27,27,1.0
4,promo_17,13,13,1.0
4,promo_18,16,16,1.0
4,promo_19,7,7,1.0
4,promo_2,9,9,1.0
4,promo_20,20,20,1.0
4,promo_21,18,18,1.0
4,promo_22,25,25,1.0
4,promo_23,14,14,1.0
4,promo_24,19,19,1.0
4,promo_25,19,19,1.0
4,promo_26,9,9,1.0
4,promo_27,15,15,1.0
4,promo_28,34,34,1.0
4,promo_29,8,8,1.0
4,promo_3,31,31,1.0
4,promo_30,22,22,1.0
4,promo_31,21,21,1.0
4,promo_32,8,8,1.0
4,promo_33,20,20,1.0
4,promo_34,11,11,1.0
4,promo_35,22,22,1.0
4,promo_36,16,16,1.0
4,promo_37,12,12,1.0
4,promo_38,36,36,1.0
4,promo_39,19,19,1.0
4,promo_4,17,17,1.0
4,promo_40,21,21,1.0
4,promo_41,18,18,1.0
4,promo_42,17,17,1.0
4,promo_43,23,23,1.0
4,promo_44,18,18,1.0
4,promo_45,17,17,1.0
4,promo_46,35,35,1.0
4,promo_47,9,9,1.0
4,promo_48,26,26,1.0
4,promo_49,13,13,1.0
4,promo_5,12,12,1.0
4,promo_50,14,14,1.0
4,promo_51,22,22,1.0
4,promo_52,15,15,1.0
4,promo_53,24,24,1.0
4,promo_54,11,11,1.0
4,promo_55,35,35,1.0
4,promo_56,16,16,1.0
4,promo_57,17,17,1.0
4,promo_58,8,8,1.0
4,promo_59,26,26,1.0
4,promo_6,16,16,1.0
4,promo_60,16,16,1.0
4,promo_61,16,16,1.0
4,promo_63,21,21,1.0
4,promo_64,22,22,1.0
4,promo_65,21,21,1.0
4,promo_66,15,15,1.0
4,promo_67,24,24,1.0
4,promo_68,31,31,1.0
4,promo_69,21,21,1.0
4,promo_7,7,7,1.0
4,promo_70,8,8,1.0
4,promo_71,24,24,1.0
4,promo_72,25,25,1.0
4,promo_73,21,21,1.0
4,promo_74,17,17,1.0
4,promo_75,20,20,1.0
4,promo_76,29,29,1.0
4,promo_77,10,10,1.0
4,promo_78,35,35,1.0
4,promo_79,12,12,1.0
4,promo_8,15,15,1.0
4,promo_80,19,19,1.0
4,promo_81,15,15,1.0
4,promo_82,19,19,1.0
4,promo_83,30,30,1.0
4,promo_84,13,13,1.0
4,promo_85,27,27,1.0
4,promo_86,10,10,1.0
4,promo_87,13,13,1.0
4,promo_88,24,24,1.0
4,promo_9,14,14,1.0
4,promo_90,22,22,1.0
4,promo_91,31,31,1.0
4,promo_92,30,30,1.0
4,promo_93,7,7,1.0
4,promo_94,26,26,1.0
4,promo_95,24,24,1.0
4,promo_96,23,23,1.0
4,promo_97,8,8,1.0
4,promo_98,24,24,1.0
4,promo_99,12,12,1.0
5,promo_0,9,9,1.0
5,promo_1,16,16,1.0
5,promo_10,35,35,1.0
5,promo_11,23,23,1.0
5,promo_12,27,27,1.0
5,promo_13,16,16,1.0
5,promo_14,14,14,1.0
5,promo_15,24,24,1.0
5,promo_16,32,32,1.0
5,promo_17,10,10,1.0
5,promo_18,17,17,1.0
5,promo_19,6,6,1.0
5,promo_2,15,15,1.0
5,promo_20,19,19,1.0
5,promo_21,25,25,1.0
5,promo_22,25,25,1.0
5,promo_23,11,11,1.0
5,promo_24,12,12,1.0
5,promo_25,27,27,1.0
5,promo_26,15,15,1.0
5,promo_27,16,16,1.0
5,promo_28,24,24,1.0
5,promo_29,14,14,1.0
5,promo_3,22,22,1.0
5,promo_30,29,29,1.0
5,promo_31,28,28,1.0
5,promo_32,14,14,1.0
5,promo_33,8,8,1.0
5,promo_34,7,7,1.0
5,promo_35,16,16,1.0
5,promo_36,13,13,1.0
5,promo_37,14,14,1.0
5,promo_38,36,36,1.0
5,promo_39,28,28,1.0
5,promo_4,16,16,1.0
5,promo_40,21,21,1.0
5,promo_41,22,22,1.0
5,promo_42,14,14,1.0
5,promo_43,18,18,1.0
5,promo_44,21,21,1.0
5,promo_45,15,15,1.0
5,promo_46,23,23,1.0
5,promo_47,11,11,1.0
5,promo_48,15,15,1.0
5,promo_49,14,14,1.0
5,promo_5,10,10,1.0
5,promo_50,20,20,1.0
5,promo_51,21,21,1.0
5,promo_52,17,17,1.0
5,promo_53,33,33,1.0
5,promo_54,12,12,1.0
5,promo_55,24,24,1.0
5,promo_56,24,24,1.0
5,promo_57,12,12,1.0
5,promo_58,16,16,1.0
5,promo_59,25,25,1.0
5,promo_6,15,15,1.0
5,promo_60,15,15,1.0
5,promo_61,8,8,1.0
5,promo_63,21,21,1.0
5,promo_64,10,10,1.0
5,promo_65,29,29,1.0
5,promo_66,9,9,1.0
5,promo_67,11,11,1.0
5,promo_68,29,29,1.0
5,promo_69,14,14,1.0
5,promo_7,8,8,1.0
5,promo_70,11,11,1.0
5,promo_71,29,29,1.0
5,promo_72,9,9,1.0
5,promo_73,21,21,1.0
5,promo_74,19,19,1.0
5,promo_75,16,16,1.0
5,promo_76,28,28,1.0
5,promo_77,15,15,1.0
5,promo_78,14,14,1.0
5,promo_79,5,5,1.0
5,promo_8,11,11,1.0
5,promo_80,17,17,1.0
5,promo_81,22,22,1.0
5,promo_82,12,12,1.0
5,promo_83,29,29,1.0
5,promo_84,17,17,1.0
5,promo_85,24,24,1.0
5,promo_86,8,8,1.0
5,promo_87,12,12,1.0
5,promo_88,29,29,1.0
5,promo_9,10,10,1.0
5,promo_90,24,24,1.0
5,promo_91,22,22,1.0
5,promo_92,32,32,1.0
5,promo_93,5,5,1.0
5,promo_94,21,21,1.0
5,promo_95,15,15,1.0
5,promo_96,23,23,1.0
5,promo_97,8,8,1.0
5,promo_98,22,22,1.0
5,promo_99,10,10,1.0
6,promo_0,14,14,1.0
6,promo_1,24,24,1.0
6,promo_10,20,20,1.0
6,promo_11,28,28,1.0
6,promo_12,32,32,1.0
6,promo_13,15,15,1.0
6,promo_14,16,16,1.0
6,promo_15,16,16,1.0
6,promo_16,27,27,1.0
6,promo_17,17,17,1.0
6,promo_18,13,13,1.0
6,promo_19,3,3,1.0
6,promo_2,11,11,1.0
6,promo_20,18,18,1.0
6,promo_21,20,20,1.0
6,promo_22,24,24,1.0
6,promo_23,9,9,1.0
6,promo_24,15,15,1.0
6,promo_25,22,22,1.0
6,promo_26,16,16,1.0
6,promo_27,13,13,1.0
6,promo_28,30,30,1.0
6,promo_29,9,9,1.0
6,promo_3,30,30,1.0
6,promo_30,31,31,1.0
6,promo_31,26,26,1.0
6,promo_32,21,21,1.0
6,promo_33,18,18,1.0
6,promo_34,11,11,1.0
6,promo_35,12,12,1.0
6,promo_36,14,14,1.0
6,promo_37,16,16,1.0
6,promo_38,24,24,1.0
6,promo_39,23,23,1.0
6,promo_4,10,10,1.0
6,promo_40,11,11,1.0
6,promo_41,18,18,1.0
6,promo_42,21,21,1.0
6,promo_43,15,15,1.0
6,promo_44,16,16,1.0
6,promo_45,16,16,1.0
6,promo_46,29,29,1.0
6,promo_47,9,9,1.0
6,promo_48,23,23,1.0
6,promo_49,12,12,1.0
6,promo_5,12,12,1.0
6,promo_50,19,19,1.0
6,promo_51,23,23,1.0
6,promo_52,15,15,1.0
6,promo_53,26,26,1.0
6,promo_54,22,22,1.0
6,promo_55,28,28,1.0
6,promo_56,15,15,1.0
6,promo_57,16,16,1.0
6,promo_58,7,7,1.0
6,promo_59,25,25,1.0
6,promo_6,14,14,1.0
6,promo_60,20,20,1.0
6,promo_61,12,12,1.0
6,promo_63,16,16,1.0
6,promo_64,19,19,1.0
6,promo_65,25,25,1.0
6,promo_66,10,10,1.0
6,promo_67,17,17,1.0
6,promo_68,29,29,1.0
6,promo_69,16,16,1.0
6,promo_7,12,12,1.0
6,promo_70,7,7,1.0
6,promo_71,29,29,1.0
6,promo_72,27,27,1.0
6,promo_73,16,16,1.0
6,promo_74,23,23,1.0
6,promo_75,9,9,1.0
6,promo_76,15,15,1.0
6,promo_77,17,17,1.0
6,promo_78,29,29,1.0
6,promo_79,5,5,1.0
6,promo_8,6,6,1.0
6,promo_80,19,19,1.0
6,promo_81,15,15,1.0
6,promo_82,17,17,1.0
6,promo_83,26,26,1.0
6,promo_84,12,12,1.0
6,promo_85,20,20,1.0
6,promo_86,11,11,1.0
6,promo_87,11,11,1.0
6,promo_88,24,24,1.0
6,promo_9,12,12,1.0
6,promo_90,32,32,1.0
6,promo_91,28,28,1.0
6,promo_92,22,22,1.0
6,promo_93,4,4,1.0
6,promo_94,26,26,1.0
6,promo_95,15,15,1.0
6,promo_96,25,25,1.0
6,promo_97,9,9,1.0
6,promo_98,19,19,1.0
6,promo_99,15,15,1.0
7,promo_0,15,15,1.0
7,promo_1,21,21,1.0
7,promo_10,18,18,1.0
7,promo_11,28,28,1.0
7,promo_12,20,20,1.0
7,promo_13,16,16,1.0
7,promo_14,14,14,1.0
7,promo_15,21,21,1.0
7,promo_16,22,22,1.0
7,promo_17,10,10,1.0
7,promo_18,27,27,1.0
7,promo_19,5,5,1.0
7,promo_2,12,12,1.0
7,promo_20,22,22,1.0
7,promo_21,16,16,1.0
7,promo_22,19,19,1.0
7,promo_23,9,9,1.0
7,promo_24,20,20,1.0
7,promo_25,26,26,1.0
7,promo_26,9,9,1.0
7,promo_27,19,19,1.0
7,promo_28,26,26,1.0
7,promo_29,7,7,1.0
7,promo_3,18,18,1.0
7,promo_30,31,31,1.0
7,promo_31,30,30,1.0
7,promo_32,8,8,1.0
7,promo_33,18,18,1.0
7,promo_34,9,9,1.0
7,promo_35,19,19,1.0
7,promo_36,21,21,1.0
7,promo_37,12,12,1.0
7,promo_38,29,29,1.0
7,promo_39,22,22,1.0
7,promo_4,15,15,1.0
7,promo_40,21,21,1.0
7,promo_41,30,30,1.0
7,promo_42,11,11,1.0
7,promo_43,17,17,1.0
7,promo_44,13,13,1.0
7,promo_45,21,21,1.0
7,promo_46,21,21,1.0
7,promo_47,9,9,1.0
7,promo_48,15,15,1.0
7,promo_49,9,9,1.0
7,promo_5,11,11,1.0
7,promo_50,20,20,1.0
7,promo_51,18,18,1.0
7,promo_52,20,20,1.0
7,promo_53,23,23,1.0
7,promo_54,13,13,1.0
7,promo_55,28,28,1.0
7,promo_56,21,21,1.0
7,promo_57,18,18,1.0
7,promo_58,8,8,1.0
7,promo_59,23,23,1.0
7,promo_6,24,24,1.0
7,promo_60,13,13,1.0
7,promo_61,11,11,1.0
7,promo_63,16,16,1.0
7,promo_64,14,14,1.0
7,promo_65,25,25,1.0
7,promo_66,14,14,1.0
7,promo_67,20,20,1.0
7,promo_68,25,25,1.0
7,promo_69,16,16,1.0
7,promo_7,10,10,1.0
7,promo_70,9,9,1.0
7,promo_71,30,30,1.0
7,promo_72,13,13,1.0
7,promo_73,26,26,1.0
7,promo_74,17,17,1.0
7,promo_75,19,19,1.0
7,promo_76,25,25,1.0
7,promo_77,24,24,1.0
7,promo_78,37,37,1.0
7,promo_79,2,2,1.0
7,promo_8,7,7,1.0
7,promo_80,13,13,1.0
7,promo_81,11,11,1.0
7,promo_82,26,26,1.0
7,promo_83,29,29,1.0
7,promo_84,16,16,1.0
7,promo_85,32,32,1.0
7,promo_86,9,9,1.0
7,promo_87,9,9,1.0
7,promo_88,22,22,1.0
7,promo_9,11,11,1.0
7,promo_90,29,29,1.0
7,promo_91,33,33,1.0
7,promo_92,18,18,1.0
7,promo_93,4,4,1.0
7,promo_94,30,30,1.0
7,promo_95,14,14,1.0
7,promo_96,25,25,1.0
7,promo_97,18,18,1.0
7,promo_98,20,20,1.0
7,promo_99,12,12,1.0
8,promo_0,20,20,1.0
8,promo_1,13,13,1.0
8,promo_10,23,23,1.0
8,promo_11,29,29,1.0
8,promo_12,33,33,1.0
8,promo_13,13,13,1.0
8,promo_14,18,18,1.0
8,promo_15,31,31,1.0
8,promo_16,22,22,1.0
8,promo_17,18,18,1.0
8,promo_18,22,22,1.0
8,promo_19,8,8,1.0
8,promo_2,7,7,1.0
8,promo_20,22,22,1.0
8,promo_21,13,13,1.0
8,promo_22,29,29,1.0
8,promo_23,17,17,1.0
8,promo_24,13,13,1.0
8,promo_25,25,25,1.0
8,promo_26,7,7,1.0
8,promo_27,26,26,1.0
8,promo_28,44,44,1.0
8,promo_29,11,11,1.0
8,promo_3,35,35,1.0
8,promo_30,33,33,1.0
8,promo_31,36,36,1.0
8,promo_32,10,10,1.0
8,promo_33,23,23,1.0
8,promo_34,9,9,1.0
8,promo_35,14,14,1.0
8,promo_36,23,23,1.0
8,promo_37,21,21,1.0
8,promo_38,31,31,1.0
8,promo_39,30,30,1.0
8,promo_4,17,17,1.0
8,promo_40,21,21,1.0
8,promo_41,21,21,1.0
8,promo_42,18,18,1.0
8,promo_43,21,21,1.0
8,promo_44,22,22,1.0
8,promo_45,24,24,1.0
8,promo_46,27,27,1.0
8,promo_47,13,13,1.0
8,promo_48,30,30,1.0
8,promo_49,23,23,1.0
8,promo_5,7,7,1.0
8,promo_50,16,16,1.0
8,promo_51,24,24,1.0
8,promo_52,22,22,1.0
8,promo_53,30,30,1.0
8,promo_54,17,17,1.0
8,promo_55,37,37,1.0
8,promo_56,17,17,1.0
8,promo_57,9,9,1.0
8,promo_58,8,8,1.0
8,promo_59,32,32,1.0
8,promo_6,16,16,1.0
8,promo_60,25,25,1.0
8,promo_61,8,8,1.0
8,promo_63,19,19,1.0
8,promo_64,21,21,1.0
8,promo_65,28,28,1.0
8,promo_66,14,14,1.0
8,promo_67,18,18,1.0
8,promo_68,32,32,1.0
8,promo_69,14,14,1.0
8,promo_7,5,5,1.0
8,promo_70,11,11,1.0
8,promo_71,32,32,1.0
8,promo_72,11,11,1.0
8,promo_73,35,35,1.0
8,promo_74,17,17,1.0
8,promo_75,18,18,1.0
8,promo_76,24,24,1.0
8,promo_77,18,18,1.0
8,promo_78,30,30,1.0
8,promo_79,4,4,1.0
8,promo_8,14,14,1.0
8,promo_80,22,22,1.0
8,promo_81,21,21,1.0
8,promo_82,17,17,1.0
8,promo_83,38,38,1.0
8,promo_84,25,25,1.0
8,promo_85,26,26,1.0
8,promo_86,10,10,1.0
8,promo_87,11,11,1.0
8,promo_88,25,25,1.0
8,promo_9,7,7,1.0
8,promo_90,25,25,1.0
8,promo_91,27,27,1.0
8,promo_92,25,25,1.0
8,promo_93,7,7,1.0
8,promo_94,35,35,1.0
8,promo_95,26,26,1.0
8,promo_96,30,30,1.0
8,promo_97,7,7,1.0
8,promo_98,34,34,1.0
8,promo_99,15,15,1.0
9,promo_0,27,27,1.0
9,promo_1,22,22,1.0
9,promo_10,43,43,1.0
9,promo_11,36,36,1.0
9,promo_12,29,29,1.0
9,promo_13,19,19,1.0
9,promo_14,14,14,1.0
9,promo_15,36,36,1.0
9,promo_16,43,43,1.0
9,promo_17,22,22,1.0
9,promo_18,25,25,1.0
9,promo_19,11,11,1.0
9,promo_2,11,11,1.0
9,promo_20,28,28,1.0
9,promo_21,17,17,1.0
9,promo_22,41,41,1.0
9,promo_23,12,12,1.0
9,promo_24,22,22,1.0
9,promo_25,23,23,1.0
9,promo_26,5,5,1.0
9,promo_27,34,34,1.0
9,promo_28,29,29,1.0
9,promo_29,12,12,1.0
9,promo_3,25,25,1.0
9,promo_30,38,38,1.0
9,promo_31,40,40,1.0
9,promo_32,10,10,1.0
9,promo_33,24,24,1.0
9,promo_34,8,8,1.0
9,promo_35,16,16,1.0
9,promo_36,17,17,1.0
9,promo_37,22,22,1.0
9,promo_38,31,31,1.0
9,promo_39,28,28,1.0
9,promo_4,23,23,1.0
9,promo_40,24,24,1.0
9,promo_41,36,36,1.0
9,promo_42,26,26,1.0
9,promo_43,27,27,1.0
9,promo_44,22,22,1.0
9,promo_45,15,15,1.0
9,promo_46,20,20,1.0
9,promo_47,9,9,1.0
9,promo_48,36,36,1.0
9,promo_49,19,19,1.0
9,promo_5,12,12,1.0
9,promo_50,24,24,1.0
