daily,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2021-01-10,4.0,6.0,5.0,7.0,5.0,5.0,13.0,13.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,11.0,7.0,4.0,10.0,7.0,27.0,25.0,6.0,6.0,6.0,15.0,7.0,15.0,19.0,8.0,12.0,7.0,11.0,12.0,26.0,22.0,7.0,7.0,14.0,6.0,5.0,12.0,13.0,3.0,4.0,5.0,4.0,6.0,12.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,5.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,12.0,7.0,2.0,5.0,10.0,4.0,7.0,8.0,2.0,4.0,6.0,3.0,4.0,3.0,7.0,4.0,2.0,2.0,4.0,0.0,3.0,6.0,0.0,1.0,4.0,3.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.0,2.0,1.0,2.0,8.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,1.0,4.0,3.0,3.0,9.0,6.0,7.0,4.0,8.0,5.0,3.0,4.0,11.0,3.0,4.0,3.0,3.0,4.0,5.0,6.0,4.0,4.0,6.0,4.0,1.0,4.0,9.0,1.0,1.0,3.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,2.0,2.0,2.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,5.0,1.0,2.0,8.0,14.0,3.0,6.0,6.0,6.0,3.0,10.0,13.0,4.0,3.0,5.0,6.0,2.0,8.0,6.0,1.0,5.0,5.0,0.0,2.0,6.0,3.0,2.0,1.0,4.0,2.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,1.0,0.0,4.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,7.0,3.0,2.0,7.0,8.0,8.0,2.0,4.0,1.0,3.0,5.0,9.0,8.0,2.0,2.0,5.0,5.0,1.0,7.0,5.0,5.0,0.0,2.0,3.0,2.0,6.0,6.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.0,6.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,2.0,4.0,3.0,4.0,4.0,10.0,8.0,7.0,0.0,3.0,4.0,1.0,5.0,6.0,2.0,4.0,2.0,6.0,1.0,11.0,9.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,0.0,4.0,1.0,3.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,1.0,6.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,12.0,14.0,10.0,13.0,18.0,30.0,19.0,10.0,9.0,20.0,10.0,14.0,32.0,23.0,7.0,6.0,8.0,7.0,18.0,20.0,23.0,4.0,9.0,11.0,5.0,4.0,12.0,13.0,2.0,9.0,5.0,6.0,5.0,21.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,6.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,10.0,12.0,12.0,6.0,9.0,22.0,22.0,7.0,8.0,11.0,12.0,17.0,26.0,26.0,5.0,8.0,9.0,14.0,10.0,27.0,21.0,6.0,4.0,8.0,3.0,9.0,10.0,11.0,7.0,2.0,3.0,5.0,9.0,6.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,8.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,4.0,2.0,7.0,13.0,9.0,5.0,3.0,3.0,5.0,2.0,7.0,8.0,3.0,6.0,1.0,4.0,4.0,6.0,8.0,2.0,5.0,2.0,2.0,2.0,7.0,4.0,6.0,4.0,2.0,1.0,2.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,2.0,5.0,4.0,4.0,7.0,15.0,12.0,3.0,6.0,3.0,6.0,5.0,15.0,9.0,6.0,6.0,7.0,4.0,3.0,11.0,10.0,2.0,4.0,0.0,1.0,4.0,3.0,4.0,5.0,3.0,1.0,3.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,7.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,3.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-30,82.0,195.0,126.0,81.0,67.0,33.0,22.0,53.0,55.0,20.0,20.0,22.0,13.0,23.0,56.0,52.0,22.0,17.0,19.0,25.0,17.0,42.0,40.0,19.0,22.0,18.0,8.0,9.0,29.0,31.0,8.0,9.0,10.0,10.0,9.0,21.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,15.0,10.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,73.0,106.0,86.0,55.0,36.0,36.0,53.0,50.0,13.0,21.0,22.0,25.0,13.0,52.0,51.0,22.0,17.0,17.0,25.0,25.0,48.0,52.0,19.0,16.0,27.0,11.0,9.0,25.0,36.0,12.0,10.0,9.0,17.0,9.0,10.0,29.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,10.0,8.0,10.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,27.0,78.0,41.0,33.0,25.0,40.0,29.0,9.0,12.0,9.0,11.0,9.0,13.0,22.0,8.0,9.0,4.0,10.0,7.0,19.0,23.0,6.0,11.0,13.0,3.0,3.0,10.0,6.0,3.0,4.0,1.0,6.0,2.0,13.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,5.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,21.0,35.0,29.0,17.0,30.0,23.0,9.0,6.0,7.0,9.0,7.0,10.0,16.0,7.0,7.0,5.0,9.0,3.0,8.0,16.0,4.0,6.0,7.0,3.0,5.0,12.0,11.0,2.0,6.0,7.0,5.0,4.0,7.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-03,13.0,28.0,18.0,33.0,25.0,13.0,8.0,4.0,17.0,10.0,18.0,26.0,17.0,11.0,3.0,13.0,8.0,14.0,19.0,8.0,6.0,8.0,2.0,2.0,4.0,7.0,3.0,5.0,6.0,2.0,2.0,9.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-04,9.0,20.0,28.0,19.0,12.0,17.0,9.0,6.0,7.0,17.0,14.0,9.0,11.0,5.0,8.0,7.0,12.0,17.0,4.0,3.0,10.0,3.0,4.0,6.0,8.0,1.0,4.0,3.0,6.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,9.0,28.0,21.0,11.0,12.0,4.0,15.0,7.0,17.0,21.0,7.0,11.0,2.0,10.0,13.0,26.0,21.0,9.0,6.0,7.0,7.0,0.0,9.0,13.0,3.0,3.0,5.0,2.0,4.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-06,18.0,55.0,23.0,23.0,20.0,28.0,19.0,47.0,57.0,20.0,17.0,13.0,20.0,22.0,36.0,51.0,22.0,19.0,19.0,14.0,13.0,37.0,32.0,6.0,9.0,10.0,17.0,8.0,22.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,9.0,9.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,17.0,28.0,20.0,22.0,25.0,24.0,43.0,48.0,17.0,20.0,28.0,24.0,21.0,41.0,40.0,17.0,17.0,10.0,10.0,8.0,19.0,25.0,8.0,11.0,8.0,8.0,4.0,17.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,5.0,13.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,7.0,9.0,8.0,6.0,10.0,23.0,22.0,8.0,9.0,8.0,14.0,7.0,24.0,19.0,11.0,11.0,6.0,0.0,4.0,10.0,11.0,5.0,7.0,5.0,5.0,2.0,7.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-09,1.0,6.0,4.0,8.0,15.0,25.0,17.0,9.0,8.0,5.0,11.0,13.0,11.0,5.0,4.0,10.0,2.0,3.0,8.0,9.0,5.0,5.0,5.0,8.0,4.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,5.0,9.0,9.0,27.0,23.0,18.0,13.0,9.0,12.0,5.0,20.0,25.0,9.0,9.0,9.0,3.0,6.0,3.0,13.0,3.0,7.0,5.0,3.0,5.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-11,5.0,10.0,25.0,20.0,7.0,11.0,9.0,14.0,9.0,24.0,16.0,5.0,11.0,11.0,4.0,5.0,15.0,7.0,7.0,2.0,7.0,7.0,3.0,10.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,3.0,21.0,27.0,11.0,7.0,6.0,19.0,12.0,17.0,22.0,10.0,6.0,7.0,3.0,3.0,10.0,5.0,4.0,2.0,4.0,5.0,9.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-13,17.0,50.0,12.0,33.0,20.0,18.0,20.0,41.0,49.0,14.0,13.0,23.0,12.0,15.0,27.0,20.0,8.0,11.0,15.0,8.0,18.0,26.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,9.0,12.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,21.0,20.0,25.0,28.0,23.0,24.0,45.0,43.0,22.0,23.0,21.0,8.0,16.0,25.0,11.0,12.0,12.0,5.0,7.0,8.0,8.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,10.0,12.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,7.0,8.0,8.0,9.0,11.0,13.0,22.0,4.0,5.0,6.0,6.0,3.0,10.0,8.0,5.0,3.0,4.0,2.0,6.0,10.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,7.0,8.0,9.0,6.0,12.0,9.0,6.0,9.0,11.0,2.0,4.0,15.0,14.0,3.0,2.0,7.0,6.0,6.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-17,3.0,5.0,6.0,10.0,20.0,6.0,8.0,7.0,4.0,4.0,12.0,8.0,5.0,4.0,4.0,4.0,5.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-18,4.0,9.0,16.0,21.0,8.0,11.0,6.0,3.0,6.0,11.0,12.0,8.0,6.0,4.0,5.0,6.0,11.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,6.0,16.0,23.0,7.0,6.0,8.0,1.0,4.0,7.0,12.0,4.0,3.0,4.0,2.0,7.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
