monetary,frequency,segments_numeric
26.845,1080.0,7.0
35.7075,1785.0,
37.0325,22.0,7.0
18.12,43.0,8.0
47.805,1668.0,3.0
38.43,519.0,2.0
31.93,995.0,5.0
26.207500000000003,1032.0,
34.0925,1205.0,3.0
26.720000000000002,1789.0,11.0
23.1625,445.0,10.0
28.737499999999997,1809.0,3.0
25.945,193.0,1.0
22.9975,383.0,10.0
8.4925,787.0,7.0
28.442500000000003,2089.0,3.0
32.057500000000005,1131.0,2.0
24.65,1536.0,3.0
35.3175,94.0,10.0
23.134999999999998,1387.0,11.0
41.3125,457.0,11.0
33.955,78.0,2.0
40.425,142.0,2.0
28.384999999999998,2282.0,3.0
40.1525,986.0,2.0
28.294999999999998,397.0,10.0
28.8175,760.0,5.0
30.9825,104.0,10.0
24.7175,862.0,7.0
14.875,852.0,7.0
31.052500000000002,908.0,1.0
22.43,2042.0,7.0
24.1725,510.0,1.0
35.075,49.0,2.0
28.94,1343.0,3.0
43.8775,1851.0,3.0
14.307500000000001,1362.0,
28.54,261.0,7.0
37.5125,359.0,2.0
28.555,1232.0,5.0
29.13,801.0,
16.0975,269.0,7.0
21.41,2334.0,3.0
18.1075,264.0,8.0
18.9725,1210.0,
32.49,1233.0,11.0
22.5975,2319.0,3.0
50.462500000000006,129.0,11.0
22.802500000000002,653.0,1.0
36.144999999999996,897.0,5.0
37.565,1680.0,4.0
31.122500000000002,114.0,1.0
17.68,762.0,7.0
19.465,1700.0,3.0
30.333333333333332,892.0,1.0
36.9375,983.0,2.0
39.1875,1078.0,2.0
25.0675,1817.0,11.0
23.615000000000002,1387.0,11.0
38.47,622.0,11.0
24.785,2110.0,3.0
23.125,202.0,1.0
21.165,2441.0,3.0
33.3925,704.0,1.0
20.1375,341.0,7.0
43.92,527.0,11.0
27.707500000000003,864.0,1.0
39.4375,750.0,2.0
17.919999999999998,170.0,0.0
14.91,2180.0,3.0
14.850000000000001,844.0,1.0
8.455,1804.0,11.0
29.2375,1120.0,7.0
22.189999999999998,839.0,1.0
23.4975,457.0,10.0
41.650000000000006,1404.0,4.0
29.6075,314.0,10.0
53.2525,1712.0,4.0
36.35,652.0,11.0
34.537499999999994,189.0,11.0
30.9075,68.0,1.0
43.2025,1650.0,
34.69,596.6666666666666,2.0
30.740000000000002,1630.0,5.0
27.979999999999997,1374.0,5.0
20.384999999999998,194.0,1.0
37.1125,104.0,10.0
22.2225,2058.0,3.0
42.3425,218.0,10.0
22.197499999999998,510.0,
25.255,229.0,7.0
35.4725,727.0,2.0
21.655,1905.0,11.0
31.35,230.0,7.0
47.849999999999994,2337.0,3.0
40.4525,227.0,10.0
26.6575,1175.0,1.0
30.3875,1147.0,1.0
15.6325,263.0,
24.5925,5.0,10.0
45.019999999999996,432.0,10.0
38.0025,146.0,2.0
42.37,1846.0,4.0
21.25,1906.0,11.0
27.002499999999998,441.0,7.0
39.125,315.0,2.0
30.0125,1436.0,11.0
41.935,1880.0,3.0
38.72,518.0,2.0
22.84,1712.0,3.0
36.364999999999995,755.0,5.0
28.5225,171.0,10.0
38.6025,1436.0,4.0
38.629999999999995,1079.0,
31.369999999999997,1010.0,1.0
37.455,158.0,2.0
43.8525,382.0,11.0
21.6725,2215.0,3.0
41.04,300.0,2.0
30.8675,2144.0,3.0
18.135,1001.0,1.0
26.8575,1109.0,7.0
34.57,546.0,2.0
16.6075,161.0,1.0
29.36,1647.0,5.0
48.6975,128.0,11.0
27.372500000000002,959.0,7.0
36.745000000000005,2045.0,3.0
42.91,807.0,11.0
31.042499999999997,680.0,1.0
20.575,547.0,1.0
39.2975,104.0,2.0
28.4975,2013.0,3.0
40.3825,698.0,11.0
25.544999999999998,685.0,7.0
40.4775,468.0,2.0
33.6575,605.0,11.0
33.3225,705.0,1.0
33.7725,99.0,2.0
32.2525,1982.0,3.0
33.285,1646.0,3.0
24.4625,1729.0,11.0
16.68,1030.0,7.0
14.575,656.0,1.0
24.475,583.0,7.0
27.4375,997.0,1.0
19.9925,1516.0,3.0
24.245,547.0,1.0
36.8725,1367.0,4.0
23.15,1507.0,11.0
31.965000000000003,1556.0,3.0
25.2675,191.0,10.0
30.455,1785.0,11.0
40.5975,1486.0,4.0
22.5275,1103.0,7.0
20.2225,1505.0,3.0
29.9075,633.0,1.0
23.447499999999998,274.0,1.0
41.192499999999995,1534.0,3.0
39.8825,1430.0,3.0
40.275,180.0,2.0
24.865000000000002,23.0,10.0
32.335,1244.0,11.0
36.5275,227.0,2.0
22.8725,27.0,10.0
14.997499999999999,530.0,7.0
32.9875,1015.0,1.0
36.4875,989.0,2.0
30.182499999999997,1885.0,11.0
19.57,867.0,1.0
36.58,2111.0,4.0
28.409999999999997,379.0,1.0
31.025000000000002,1034.0,5.0
28.6475,1003.0,1.0
15.987499999999999,478.0,7.0
41.2875,1071.0,2.0
28.165,25.0,7.0
35.150000000000006,378.0,11.0
17.46,474.0,1.0
26.294999999999998,1144.0,1.0
25.425,66.0,1.0
27.1675,1942.0,3.0
31.96,9.0,10.0
23.0125,13.0,10.0
38.745000000000005,480.0,2.0
29.729999999999997,19.0,1.0
38.27166666666667,1096.5,2.0
19.619999999999997,2053.0,3.0
37.894999999999996,441.0,2.0
30.335,108.0,7.0
43.0275,827.0,11.0
23.9125,1072.0,1.0
39.3775,137.0,10.0
28.82166666666667,514.5,7.0
35.442499999999995,1022.0,1.0
23.245,2041.0,11.0
19.197499999999998,1772.0,3.0
42.4075,1401.0,2.0
21.770000000000003,212.0,1.0
37.224999999999994,121.0,10.0
21.384999999999998,1255.0,3.0
27.245,934.0,7.0
27.6175,2097.0,11.0
20.112499999999997,870.0,7.0
31.49,1113.0,5.0
17.4225,867.0,1.0
34.0375,434.0,2.0
32.085,1586.0,5.0
34.28,1187.0,4.0
35.3525,1566.0,4.0
28.2525,2042.0,11.0
29.720000000000002,470.0,1.0
33.8,1832.0,1.0
29.177500000000002,5.0,1.0
29.4925,43.0,1.0
25.1075,2682.0,
20.622500000000002,262.0,1.0
27.44,636.0,7.0
29.5475,477.0,1.0
24.4575,46.0,1.0
23.1875,231.0,1.0
36.5975,733.0,5.0
37.305,186.0,10.0
31.335,527.0,10.0
29.095,642.0,1.0
23.3,1446.0,11.0
40.2825,200.0,11.0
35.2125,657.0,10.0
46.075,1895.0,4.0
25.32,1495.0,11.0
25.9725,368.0,7.0
28.509999999999998,815.0,1.0
20.491666666666664,1076.5,1.0
16.72,2396.0,3.0
29.045,890.0,1.0
26.44,254.0,1.0
27.6,1200.0,3.0
33.8725,987.0,5.0
18.67,1424.0,11.0
24.835,2562.0,
18.48,255.0,8.0
33.785,1908.0,
28.3975,641.0,1.0
42.855000000000004,669.0,11.0
41.1525,753.0,10.0
34.397499999999994,820.0,11.0
30.3925,1283.0,3.0
21.565,70.0,10.0
28.705,210.0,7.0
14.575,131.0,7.0
12.89,278.0,1.0
18.5825,1587.0,3.0
31.314999999999998,472.0,7.0
46.53,2108.0,4.0
32.385,1338.0,11.0
25.605,731.0,1.0
21.615000000000002,1146.0,1.0
28.7725,1510.0,11.0
20.065,792.0,1.0
51.5225,1176.0,11.0
46.695,180.0,10.0
20.84,390.0,1.0
26.5275,394.0,1.0
21.4725,1120.0,1.0
26.207499999999996,999.0,1.0
29.939999999999998,1381.0,5.0
39.7175,827.0,2.0
15.982499999999998,1914.0,3.0
27.7175,872.0,1.0
30.6225,254.0,10.0
23.92,1580.0,3.0
40.805,1798.0,4.0
20.0625,563.0,1.0
39.067499999999995,1553.0,4.0
20.262500000000003,1752.0,11.0
29.235,937.0,1.0
27.285000000000004,737.0,1.0
25.055,740.0,1.0
29.085,409.0,
22.8,1658.0,1.0
31.93,200.0,10.0
19.502499999999998,764.0,1.0
26.525,1019.0,1.0
27.6125,1289.0,3.0
40.6025,123.0,2.0
48.7975,1579.0,4.0
40.6475,1317.0,3.0
18.6475,470.0,1.0
29.9575,2445.0,1.0
27.455000000000002,1697.0,3.0
25.285,593.0,1.0
30.7125,1090.0,1.0
36.29,147.0,10.0
39.0,567.0,11.0
30.25,489.0,7.0
34.7325,913.0,2.0
55.805,480.0,11.0
19.545,931.0,1.0
24.1175,859.0,7.0
25.7525,164.0,1.0
24.87,1441.0,
35.7325,770.0,2.0
34.2025,1319.0,4.0
20.5,597.0,1.0
30.752499999999998,1834.0,11.0
33.1425,406.0,7.0
32.2375,169.0,7.0
28.987499999999997,448.0,7.0
30.1575,884.0,1.0
16.817500000000003,519.0,1.0
23.8925,260.0,10.0
39.05,906.0,2.0
33.29,1101.0,5.0
20.127499999999998,134.0,1.0
32.745,1085.0,1.0
32.199999999999996,147.0,10.0
32.005,157.0,10.0
18.3075,1089.0,1.0
26.7325,788.0,1.0
29.9025,1512.0,5.0
21.945,1379.0,3.0
29.195,689.0,10.0
37.332499999999996,1107.0,2.0
27.8675,387.0,7.0
39.72,1838.0,3.0
41.9025,253.0,11.0
26.5,598.0,7.0
41.792500000000004,1457.0,3.0
16.6825,1940.0,11.0
23.214999999999996,1900.0,3.0
33.4775,198.0,7.0
21.085,1881.0,11.0
25.7575,1302.0,11.0
28.785000000000004,383.0,1.0
28.095,41.0,10.0
19.1375,1160.0,1.0
38.485,776.0,5.0
33.6025,210.0,1.0
22.314999999999998,501.0,10.0
35.3425,1187.0,4.0
29.415,570.0,1.0
23.4825,1035.0,1.0
24.735,170.0,
18.235,1943.0,3.0
28.0475,939.0,5.0
35.864999999999995,1245.0,5.0
33.2475,32.0,10.0
26.445,2307.0,3.0
23.375,668.0,1.0
16.16,743.0,1.0
26.4125,2363.0,
31.6175,725.0,1.0
26.3575,988.0,1.0
21.887500000000003,155.0,1.0
24.6675,88.0,10.0
29.9925,983.0,5.0
25.442500000000003,209.0,1.0
39.45,413.0,11.0
27.16,181.0,10.0
27.3075,344.0,1.0
41.0275,552.0,11.0
28.1325,2076.0,
28.565,1251.0,3.0
21.7825,1574.0,3.0
16.9,1851.0,11.0
32.3075,2128.0,3.0
30.415,78.0,1.0
29.1025,184.0,10.0
47.665,1559.0,
21.3825,85.0,7.0
28.6475,1072.0,1.0
39.942499999999995,525.0,2.0
17.18,456.0,1.0
34.8925,1079.0,2.0
24.82,245.0,1.0
14.0325,209.0,0.0
29.5775,1474.0,3.0
16.974999999999998,733.0,1.0
26.869999999999997,948.0,1.0
23.3075,696.0,1.0
23.55,658.0,10.0
30.35,758.0,1.0
29.2125,361.0,10.0
25.4525,11.0,10.0
37.584999999999994,96.0,2.0
30.72,2342.0,
34.2975,524.0,11.0
33.855000000000004,129.0,2.0
26.365,301.0,
19.31,1018.0,7.0
37.045,988.0,2.0
44.3675,316.0,11.0
33.97,470.0,10.0
32.644999999999996,187.0,1.0
36.114999999999995,2507.0,3.0
23.130000000000003,706.0,1.0
29.44,161.0,1.0
28.939999999999998,848.0,1.0
43.385000000000005,610.0,11.0
30.2925,394.0,1.0
35.96,954.0,2.0
29.4075,1410.0,
24.1325,313.0,7.0
28.5275,636.0,10.0
8.1725,382.0,10.0
26.729999999999997,984.0,1.0
29.34,1270.0,3.0
32.5275,741.0,1.0
29.622500000000002,646.0,7.0
47.7825,743.0,
26.89,116.0,10.0
17.5825,598.0,10.0
27.637500000000003,1083.0,
40.825,598.0,2.0
29.619999999999997,526.0,10.0
18.63,132.0,7.0
25.6525,196.0,7.0
24.7725,815.0,1.0
49.1175,1628.0,3.0
22.287499999999998,1390.0,11.0
24.395,1181.0,1.0
43.775000000000006,723.0,11.0
26.23,1745.0,3.0
16.975,1653.0,3.0
30.552500000000002,627.0,1.0
29.03,682.0,1.0
19.35,1108.0,1.0
37.875,2532.0,3.0
43.0475,946.0,11.0
37.7975,335.0,2.0
26.832500000000003,427.0,1.0
14.821666666666665,940.0,1.0
47.05,1301.0,4.0
13.16,136.0,8.0
47.5025,575.0,10.0
13.302499999999998,65.0,1.0
18.7825,97.0,7.0
16.29,885.0,7.0
10.48,190.0,1.0
28.09,254.0,10.0
25.825,540.0,1.0
24.3875,1317.0,
36.8225,116.0,11.0
39.75,987.0,5.0
35.065,348.0,2.0
13.5125,887.0,7.0
29.2425,1678.0,3.0
39.677499999999995,333.0,10.0
29.080000000000002,454.0,1.0
37.475,1206.0,5.0
23.46,1343.0,11.0
45.615,2133.0,4.0
32.815,1091.0,
26.98,846.0,
26.775,2281.0,1.0
28.247500000000002,1171.0,1.0
26.96,32.0,10.0
34.2575,2262.0,
37.89,1523.0,3.0
25.4225,35.0,1.0
25.055,414.0,7.0
25.6075,387.0,1.0
22.4,342.0,10.0
29.6875,2194.0,2.0
24.275,1016.0,7.0
25.82,698.0,1.0
47.4725,261.0,11.0
45.035,1037.0,11.0
35.2075,413.0,2.0
27.822499999999998,1276.0,11.0
31.7725,212.0,7.0
49.1,1224.0,4.0
36.2025,1682.0,4.0
30.895,1139.0,1.0
20.1675,1244.0,3.0
31.862499999999997,2138.0,3.0
22.7575,508.0,1.0
16.735,1819.0,3.0
30.342499999999998,97.0,1.0
40.957499999999996,897.0,2.0
34.775,447.0,10.0
27.18,816.0,7.0
41.655,1868.0,3.0
22.817500000000003,379.0,7.0
46.697500000000005,238.0,11.0
38.004999999999995,1726.0,4.0
27.1075,581.0,1.0
35.325,1630.0,3.0
25.67,1310.0,11.0
21.155,665.0,1.0
26.052500000000002,10.0,1.0
28.002499999999998,807.0,5.0
37.0325,1324.0,
25.065,1041.0,1.0
37.815,607.0,2.0
21.62,1070.0,1.0
15.06,1756.0,11.0
25.095,1320.0,11.0
13.91,598.0,1.0
25.9975,57.0,7.0
31.405,511.0,1.0
21.61,1096.0,1.0
28.375,1191.0,11.0
29.16,1033.0,5.0
28.04,37.0,1.0
12.685,2053.0,11.0
24.4675,452.0,1.0
41.7725,866.0,11.0
25.2175,433.0,1.0
32.315,721.0,1.0
19.942500000000003,147.0,7.0
25.23,1961.0,11.0
29.11,525.0,7.0
39.5425,26.0,2.0
17.375,1419.0,11.0
28.29,199.0,7.0
25.24,644.0,2.0
35.2325,1889.0,4.0
31.3125,2037.0,
14.4875,2367.0,3.0
30.2725,748.0,1.0
28.8725,254.0,7.0
35.72,861.0,5.0
19.875,223.0,8.0
25.957500000000003,1124.0,1.0
30.5625,1265.0,3.0
35.56,904.0,5.0
37.2775,676.0,2.0
27.9425,2012.0,3.0
26.735,245.0,
37.835,1847.0,3.0
34.1,895.0,1.0
48.705,1586.0,4.0
41.0475,210.0,2.0
21.7175,663.0,7.0
16.2125,192.0,3.0
20.197499999999998,1007.0,7.0
27.795,1627.0,5.0
36.067499999999995,165.0,11.0
38.6225,967.0,2.0
14.465,815.0,7.0
19.5025,363.0,10.0
29.307499999999997,1917.0,3.0
36.56999999999999,548.0,2.0
14.5475,644.0,1.0
26.950000000000003,114.0,1.0
26.0225,146.0,10.0
22.5075,457.0,7.0
27.53,276.0,10.0
29.445,1129.0,1.0
30.387500000000003,16.0,1.0
24.395,521.0,10.0
33.9975,1630.0,3.0
33.572500000000005,1244.0,11.0
16.945,456.0,7.0
14.59,335.0,1.0
24.64,1009.0,7.0
20.125,396.0,1.0
42.245,1070.0,11.0
24.052500000000002,737.0,1.0
27.3475,1333.0,11.0
53.197500000000005,175.0,10.0
28.3675,473.0,1.0
31.6175,1366.0,
21.772499999999997,1346.0,11.0
42.754999999999995,972.0,11.0
46.004999999999995,1738.0,4.0
22.244999999999997,17.0,
28.97166666666666,62.31578947368421,1.0
21.590000000000003,9.5,1.0
17.947499999999998,36.0,0.0
30.6375,44.0,1.0
39.41,56.0,2.0
24.585,7.0,
30.80426829268293,60.85,1.0
28.738139534883725,57.404761904761905,1.0
31.673658536585364,59.525,1.0
23.005,13.0,1.0
32.202299999999994,47.87755102040816,1.0
28.887500000000003,33.0,1.0
41.57,17.0,
30.652499999999996,7.0,1.0
32.150735294117645,72.78787878787878,1.0
29.6725,9.0,
29.81833333333334,17.5,1.0
29.98097826086957,51.644444444444446,1.0
30.10166666666667,16.0,1.0
28.9975,18.666666666666668,1.0
31.25,18.0,1.0
22.8125,34.0,1.0
31.613297872340436,52.69565217391305,1.0
32.895,21.0,1.0
25.475,14.0,1.0
30.70125,14.0,1.0
35.980000000000004,12.0,2.0
29.04,11.0,1.0
18.8525,43.0,0.0
27.644166666666667,58.1219512195122,1.0
32.48886363636363,56.27906976744186,1.0
25.284999999999997,11.0,
35.37636363636364,53.93023255813954,2.0
27.233235294117645,63.27272727272727,1.0
30.303974358974354,60.18421052631579,1.0
25.575,20.5,1.0
31.447499999999998,27.0,1.0
29.924222222222227,52.13636363636363,1.0
27.164069767441863,57.95238095238095,1.0
40.0625,10.0,2.0
28.14,15.0,
32.11872549019607,47.92,1.0
28.334183673469386,50.333333333333336,1.0
31.485113636363643,53.06976744186046,1.0
29.21484848484848,67.375,1.0
38.22,17.0,2.0
24.555428571428575,69.05882352941177,1.0
28.656744186046506,56.80952380952381,1.0
29.50637499999999,59.53846153846154,1.0
30.5029347826087,53.266666666666666,1.0
31.837099999999992,47.816326530612244,1.0
30.946020408163257,48.645833333333336,1.0
40.625,1.0,2.0
26.472209302325584,53.95238095238095,1.0
12.877500000000001,31.0,1.0
29.5438888888889,63.285714285714285,1.0
29.119999999999997,71.0,1.0
28.86562500000001,49.91489361702128,1.0
28.741860465116286,58.166666666666664,1.0
28.661666666666665,16.5,1.0
28.842926829268297,55.15,1.0
29.648333333333337,29.5,1.0
31.10333333333333,53.93181818181818,1.0
34.7775,42.0,2.0
28.862499999999997,8.0,1.0
38.9875,5.0,
26.814999999999998,36.0,1.0
37.165,22.5,2.0
26.979999999999997,9.0,
28.3,15.0,1.0
29.112448979591846,50.4375,1.0
40.81166666666667,10.5,2.0
29.6425,12.0,1.0
27.682735849056602,47.0,1.0
16.64,11.0,0.0
37.5125,63.0,2.0
29.37946808510639,50.82608695652174,1.0
36.180888888888894,50.97727272727273,2.0
32.24675675675676,67.5,1.0
23.384999999999998,54.0,1.0
21.4375,30.0,1.0
30.14833333333333,8.0,1.0
48.2475,21.0,
18.189999999999998,0.0,0.0
29.14532608695652,52.13333333333333,1.0
29.653703703703698,45.886792452830186,1.0
28.8575,12.0,1.0
18.0825,9.0,0.0
27.55468085106383,52.56521739130435,1.0
25.788220338983056,41.10344827586207,1.0
42.07666666666666,24.5,11.0
21.342499999999998,34.0,
30.029204545454537,54.23255813953488,1.0
39.495000000000005,33.0,2.0
27.280595238095234,56.41463414634146,1.0
29.76848484848485,71.5625,1.0
16.243333333333336,9.0,
27.903333333333332,9.5,1.0
17.572499999999998,21.0,0.0
13.040000000000001,10.0,0.0
28.363295454545458,49.906976744186046,1.0
33.254999999999995,42.0,1.0
24.380000000000003,12.0,1.0
37.183571428571426,56.292682926829265,2.0
20.9825,63.0,1.0
31.2301388888889,68.28571428571429,1.0
32.64175,62.05128205128205,1.0
30.663222222222224,54.56818181818182,1.0
28.642291666666654,51.659574468085104,1.0
28.73,9.5,1.0
25.11,17.0,1.0
28.772391304347824,49.93333333333333,1.0
27.011938775510206,50.1875,1.0
27.39322916666666,51.212765957446805,1.0
14.63,23.0,0.0
41.870000000000005,21.0,11.0
26.31930232558139,57.714285714285715,1.0
28.65166666666667,32.0,1.0
46.417500000000004,13.0,
31.53309090909091,44.24074074074074,1.0
22.012500000000003,33.0,1.0
37.02375,17.0,2.0
22.80666666666667,18.5,1.0
35.2025,18.333333333333332,2.0
32.745000000000005,17.0,1.0
32.545,7.0,1.0
32.56181818181819,56.06976744186046,1.0
30.974404761904765,59.707317073170735,1.0
29.05375,12.666666666666666,1.0
31.7953409090909,53.53488372093023,1.0
26.94234042553192,49.08695652173913,1.0
30.720000000000002,29.0,1.0
27.67390243902439,58.8,1.0
27.565306122448984,50.0625,1.0
17.481666666666666,27.0,0.0
33.4425,59.75675675675676,1.0
27.540999999999997,59.38461538461539,1.0
32.18022727272727,55.30232558139535,1.0
29.00309523809524,56.36585365853659,1.0
32.65,4.0,1.0
40.17166666666666,14.5,2.0
35.3425,53.0,2.0
20.1,26.0,0.0
23.542499999999997,23.0,1.0
28.075,37.0,
23.423333333333336,32.0,1.0
25.803452380952383,56.78048780487805,1.0
29.32111111111111,54.63636363636363,1.0
38.15125,15.666666666666666,2.0
15.5975,28.0,0.0
24.197499999999998,5.0,1.0
25.305,5.0,1.0
48.935,12.0,
17.5475,15.0,0.0
25.6375,26.0,1.0
28.113809523809522,54.0,1.0
26.95,14.0,1.0
32.77,14.0,
31.65236111111111,65.91428571428571,1.0
30.119468085106387,52.67391304347826,1.0
37.27271739130435,52.888888888888886,2.0
36.75,5.5,2.0
41.150000000000006,44.0,2.0
33.67,16.0,2.0
18.18,9.0,0.0
30.495348837209306,57.76190476190476,1.0
30.72666666666667,19.0,1.0
28.93418604651163,56.523809523809526,1.0
26.838749999999997,58.69230769230769,1.0
21.93,38.0,1.0
29.2675,6.0,1.0
32.88833333333333,15.5,1.0
33.58922222222222,51.09090909090909,1.0
29.348804347826093,51.93333333333333,1.0
30.544069767441854,55.214285714285715,1.0
31.498846153846152,61.31578947368421,1.0
21.465000000000003,15.5,1.0
28.704000000000004,68.3529411764706,1.0
20.043333333333333,27.5,0.0
29.933513513513507,64.97222222222223,1.0
29.3675,32.0,1.0
33.006842105263146,60.24324324324324,1.0
16.259999999999998,13.0,0.0
24.002499999999998,11.0,
11.625,13.0,0.0
39.33,11.0,
35.57833333333334,15.5,2.0
20.6725,14.0,0.0
