dimension,daily,order_count,payment_amount,discount_amount,client_client_count
location_1,2021-06-15T00:00:00,2118,54660.070000000036,1456.6232499999994,1810
location_1,2021-06-16T00:00:00,1913,51709.96500000008,1489.7663500000003,1614
location_1,2021-06-17T00:00:00,2124,57228.86000000002,1516.8378999999993,1818
location_1,2021-06-18T00:00:00,2106,56194.59999999999,1458.7871499999994,1785
location_1,2021-06-19T00:00:00,1880,51201.69499999996,1570.475699999998,1564
location_1,2021-06-20T00:00:00,2095,54153.39500000004,1444.3991500000009,1782
location_1,2021-06-21T00:00:00,2004,53099.609999999986,1546.9592000000007,1694
location_1,2021-06-22T00:00:00,1844,49508.605000000054,1313.9948999999992,1539
location_1,2021-06-23T00:00:00,2093,54383.455000000045,1447.8777000000002,1795
location_1,2021-06-24T00:00:00,2135,57037.98500000001,1489.9223999999992,1825
location_1,2021-06-25T00:00:00,1956,51890.074999999924,1465.576750000001,1662
location_1,2021-06-26T00:00:00,1991,55450.915000000066,1659.7137499999997,1675
location_1,2021-06-27T00:00:00,1990,53390.610000000015,1538.6718000000003,1656
location_1,2021-06-28T00:00:00,1925,51080.9600000001,1366.7637499999992,1648
location_1,2021-06-29T00:00:00,1855,49199.21999999984,1445.0662999999997,1538
location_1,2021-06-30T00:00:00,1866,50762.849999999955,1529.7005499999989,1577
location_1,2021-07-01T00:00:00,2074,54642.54999999994,1475.316500000001,1792
location_1,2021-07-02T00:00:00,2106,55871.64499999999,1360.42645,1798
location_1,2021-07-03T00:00:00,2194,57170.904999999926,1308.5204499999993,1861
location_1,2021-07-04T00:00:00,2223,59598.87,1542.6994000000018,1902
location_1,2021-07-05T00:00:00,1922,51020.23999999992,1545.44165,1639
location_1,2021-07-06T00:00:00,1989,52087.74000000007,1602.642,1666
location_1,2021-07-07T00:00:00,1842,49951.329999999994,1483.8714499999999,1545
location_1,2021-07-08T00:00:00,2096,55432.30999999991,1245.5033500000009,1797
location_1,2021-07-09T00:00:00,1924,51540.985000000066,1487.5753999999988,1619
location_1,2021-07-10T00:00:00,2043,55392.51500000006,1689.155500000002,1697
location_1,2021-07-11T00:00:00,2143,58367.3149999999,1503.9162,1809
location_1,2021-07-12T00:00:00,1963,52476.029999999875,1509.5408499999985,1636
location_1,2021-07-13T00:00:00,2068,54373.089999999946,1361.7060999999997,1751
location_1,2021-07-14T00:00:00,1841,49164.254999999976,1285.8341499999995,1543
location_1,2021-07-15T00:00:00,1811,50056.34500000003,1328.4370000000004,1526
location_1,2021-07-16T00:00:00,2068,55074.49500000005,1603.0949999999987,1771
location_1,2021-07-17T00:00:00,2041,53566.35000000009,1504.5145,1718
location_1,2021-07-18T00:00:00,2125,56354.669999999925,1355.991700000001,1803
location_1,2021-07-19T00:00:00,2117,56540.67999999995,1361.6094499999988,1797
location_1,2021-07-20T00:00:00,1824,46586.55999999995,1120.4046500000004,1539
location_1,2021-07-21T00:00:00,2015,50606.579999999936,1143.2065500000008,1663
location_1,2021-07-22T00:00:00,1827,47326.92500000001,1162.3076999999998,1527
location_2,2021-05-18T00:00:00,41,973.3150000000003,19.5918,39
location_2,2021-05-19T00:00:00,2039,52551.385,1440.3510499999995,1682
location_2,2021-05-20T00:00:00,2021,52165.76499999997,1444.7666500000003,1686
location_2,2021-05-21T00:00:00,1991,52529.69999999994,1169.2997000000007,1664
location_2,2021-05-22T00:00:00,1838,47080.325,1344.4625500000004,1519
location_2,2021-05-23T00:00:00,1894,50253.76999999996,1338.9026499999995,1567
location_2,2021-05-24T00:00:00,1880,48327.745000000024,1332.2941000000003,1573
location_2,2021-05-25T00:00:00,1827,48062.83500000002,1163.92445,1505
location_2,2021-05-26T00:00:00,1883,50423.02000000011,1370.0684000000015,1573
location_2,2021-05-27T00:00:00,1996,51604.080000000016,1411.22595,1681
location_2,2021-05-28T00:00:00,2064,53386.76999999991,1335.605749999999,1726
location_2,2021-05-29T00:00:00,2036,51354.11499999994,1419.9179000000001,1696
location_2,2021-05-30T00:00:00,1965,51518.44500000002,1673.295099999999,1632
location_2,2021-05-31T00:00:00,2049,52715.02999999996,1384.4559000000006,1719
location_2,2021-06-01T00:00:00,1917,50260.87499999995,1514.3123999999987,1582
location_2,2021-06-02T00:00:00,1925,50206.75000000009,1487.5944499999998,1617
location_2,2021-06-03T00:00:00,1965,51456.64500000004,1533.9266499999994,1659
location_2,2021-06-04T00:00:00,1828,48214.45000000004,1339.4024999999995,1539
location_2,2021-06-05T00:00:00,1975,51428.435000000034,1280.9518499999997,1633
location_2,2021-06-06T00:00:00,2140,55266.39499999992,1441.4970000000003,1803
location_2,2021-06-07T00:00:00,2086,52827.555000000015,1393.4204500000003,1759
location_2,2021-06-08T00:00:00,1913,50675.52499999998,1307.863650000001,1584
location_2,2021-06-09T00:00:00,1765,46360.00999999995,1237.3257499999997,1475
location_2,2021-06-10T00:00:00,1889,49186.865000000085,1172.6261500000003,1588
location_2,2021-06-11T00:00:00,1756,46056.090000000084,1313.482249999999,1461
location_2,2021-06-12T00:00:00,2062,53286.55999999991,1424.2917000000011,1717
location_2,2021-06-13T00:00:00,2204,57645.01000000014,1540.4258999999995,1840
location_2,2021-06-14T00:00:00,2070,54009.62000000006,1445.6977999999997,1737
location_2,2021-06-15T00:00:00,1774,45998.449999999975,1367.8412500000009,1453
location_2,2021-06-16T00:00:00,2037,51688.66000000004,1343.6499499999989,1720
location_2,2021-06-17T00:00:00,1972,51539.06000000006,1605.7010500000015,1658
location_2,2021-06-18T00:00:00,1857,49544.15000000001,1417.1154000000004,1527
location_2,2021-06-19T00:00:00,2005,53235.37999999997,1391.7345000000003,1661
location_2,2021-06-20T00:00:00,2039,53759.05499999991,1353.758399999999,1694
location_2,2021-06-21T00:00:00,2041,52340.21500000001,1432.0092999999995,1743
location_2,2021-06-22T00:00:00,2101,53134.66500000005,1503.397300000002,1760
location_2,2021-06-23T00:00:00,1924,50044.2249999998,1387.5478500000006,1599
location_2,2021-06-24T00:00:00,1751,45496.59,1372.5805499999997,1442
location_2,2021-06-25T00:00:00,1969,48997.34499999999,1368.0005999999996,1655
location_2,2021-06-26T00:00:00,2087,54742.269999999924,1438.3674500000004,1751
location_2,2021-06-27T00:00:00,1975,51857.32500000005,1605.361950000001,1615
location_2,2021-06-28T00:00:00,2004,52279.99000000006,1398.766149999999,1649
location_2,2021-06-29T00:00:00,2104,53086.51000000005,1371.4775999999993,1780
location_2,2021-06-30T00:00:00,1911,49163.41999999999,1271.3188499999999,1591
location_2,2021-07-01T00:00:00,2131,53521.40999999997,1221.1405000000004,1815
location_2,2021-07-02T00:00:00,2040,51840.95999999995,1336.3670000000006,1709
location_2,2021-07-03T00:00:00,1914,49005.88999999995,1275.2303499999996,1627
location_2,2021-07-04T00:00:00,2104,53965.05500000005,1344.6010499999995,1767
location_2,2021-07-05T00:00:00,2075,53766.73000000001,1648.3505499999999,1732
location_2,2021-07-06T00:00:00,1995,52109.03500000001,1350.5763000000006,1682
location_2,2021-07-07T00:00:00,2062,52125.315,1134.1552000000001,1739
location_2,2021-07-08T00:00:00,1995,51319.58499999991,1419.9816499999997,1672
location_2,2021-07-09T00:00:00,2066,51612.53999999998,1286.4472999999991,1760
location_2,2021-07-10T00:00:00,2220,57347.54499999999,1535.5688000000005,1875
location_2,2021-07-11T00:00:00,1773,47093.520000000106,1336.301199999999,1477
location_2,2021-07-12T00:00:00,1957,51122.29499999991,1258.9343500000002,1630
location_2,2021-07-13T00:00:00,1989,52003.03999999997,1416.4933999999998,1677
location_2,2021-07-14T00:00:00,2006,52282.15999999997,1469.8237999999992,1685
location_2,2021-07-15T00:00:00,2104,52871.12500000009,1343.5824499999992,1765
location_2,2021-07-16T00:00:00,2217,55707.490000000056,1387.3886499999994,1877
location_2,2021-07-17T00:00:00,2053,53142.96000000004,1539.11505,1710
location_2,2021-07-18T00:00:00,1969,51028.504999999896,1362.42235,1614
location_2,2021-07-19T00:00:00,1980,51516.92499999999,1245.6673499999988,1659
location_2,2021-07-20T00:00:00,2294,59211.989999999976,1703.591750000002,1911
location_2,2021-07-21T00:00:00,2360,60755.66999999999,1534.7211000000004,1950
location_2,2021-07-22T00:00:00,2461,62659.9650000001,1472.2729000000002,2069
location_3,2021-05-18T00:00:00,24,431.87999999999994,0.0,24
location_3,2021-05-19T00:00:00,1371,34466.205000000016,821.06795,1182
location_3,2021-05-20T00:00:00,1537,39607.74000000005,1046.0394000000001,1328
location_3,2021-05-21T00:00:00,1476,37815.29999999996,902.7681999999999,1267
location_3,2021-05-22T00:00:00,1475,36731.58500000001,911.7328999999996,1230
location_3,2021-05-23T00:00:00,1535,39310.88500000004,970.4042000000003,1310
location_3,2021-05-24T00:00:00,1427,35876.06500000002,976.0319999999998,1226
location_3,2021-05-25T00:00:00,1250,31543.96999999998,878.4440000000003,1054
location_3,2021-05-26T00:00:00,1554,39554.20500000008,835.1061,1350
location_3,2021-05-27T00:00:00,1440,35890.02500000002,1011.8269499999997,1222
location_3,2021-05-28T00:00:00,1404,35664.884999999966,941.7181,1209
location_3,2021-05-29T00:00:00,1405,36300.14500000001,849.7556499999995,1179
location_3,2021-05-30T00:00:00,1519,37934.760000000024,1007.8937999999996,1290
location_3,2021-05-31T00:00:00,1441,36196.54999999996,790.5685,1243
location_3,2021-06-01T00:00:00,1377,35390.54000000001,844.0537999999999,1183
location_3,2021-06-02T00:00:00,1422,35255.30500000001,911.1309500000003,1227
location_3,2021-06-03T00:00:00,1472,36721.83999999999,838.6818000000002,1260
location_3,2021-06-04T00:00:00,1455,36709.21999999994,898.2198500000005,1237
location_3,2021-06-05T00:00:00,1316,32945.215000000004,890.7382499999997,1103
location_3,2021-06-06T00:00:00,1402,36394.76999999999,839.9460999999999,1171
location_3,2021-06-07T00:00:00,1286,33242.21500000002,836.4753999999997,1104
location_3,2021-06-08T00:00:00,1315,33166.48000000007,910.4458999999997,1117
location_3,2021-06-09T00:00:00,1354,34281.23000000001,830.2672499999998,1161
location_3,2021-06-10T00:00:00,1174,30353.84500000004,721.64375,993
location_3,2021-06-11T00:00:00,1373,34644.59499999998,745.6485999999998,1187
location_3,2021-06-12T00:00:00,1380,34843.16999999998,684.1450499999999,1186
location_3,2021-06-13T00:00:00,1560,40089.79999999998,900.3493,1337
location_3,2021-06-14T00:00:00,1455,37292.36999999997,974.0233499999997,1239
location_3,2021-06-15T00:00:00,1380,34077.14999999999,840.3453000000001,1169
location_3,2021-06-16T00:00:00,1401,35134.93,882.5570999999998,1199
location_3,2021-06-17T00:00:00,1332,33326.31,919.0197999999995,1152
location_3,2021-06-18T00:00:00,1331,33773.61499999999,787.7688499999996,1113
location_3,2021-06-19T00:00:00,1441,37102.34500000002,993.1746999999995,1207
location_3,2021-06-20T00:00:00,1400,36439.17000000001,856.4440500000002,1205
location_3,2021-06-21T00:00:00,1358,34521.30999999999,874.1743999999995,1154
location_3,2021-06-22T00:00:00,1513,37415.07000000003,953.0391500000002,1323
location_3,2021-06-23T00:00:00,1384,35491.77499999997,906.14375,1173
location_3,2021-06-24T00:00:00,1524,38884.760000000024,844.2635000000004,1314
location_3,2021-06-25T00:00:00,1332,33390.71,792.2288500000001,1135
location_3,2021-06-26T00:00:00,1454,36498.550000000054,848.2132500000001,1216
location_3,2021-06-27T00:00:00,1332,33878.54499999997,809.0216499999996,1142
location_3,2021-06-28T00:00:00,1230,32080.230000000025,824.1933,1028
location_3,2021-06-29T00:00:00,1402,36012.019999999866,915.4152500000005,1191
location_3,2021-06-30T00:00:00,1316,34281.794999999984,818.7814000000005,1122
location_3,2021-07-01T00:00:00,1472,36197.810000000034,723.2079999999999,1246
location_3,2021-07-02T00:00:00,1335,33506.53500000004,928.6224500000006,1124
location_3,2021-07-03T00:00:00,1305,34304.03499999996,887.8028999999993,1085
location_3,2021-07-04T00:00:00,1367,34390.304999999964,904.2695500000003,1166
location_3,2021-07-05T00:00:00,1338,34959.980000000025,847.4410999999993,1134
location_3,2021-07-06T00:00:00,1531,39248.99500000012,896.6465,1322
location_3,2021-07-07T00:00:00,1421,36503.80499999999,718.6875500000002,1231
location_3,2021-07-08T00:00:00,1342,34503.354999999974,804.0337000000004,1139
location_3,2021-07-09T00:00:00,1503,37332.18499999995,1007.4255000000003,1275
location_3,2021-07-10T00:00:00,1444,36981.534999999974,1010.0759500000001,1205
location_3,2021-07-11T00:00:00,1470,36884.77000000002,926.5597499999998,1241
location_3,2021-07-12T00:00:00,1295,32646.300000000014,988.2929999999998,1084
location_3,2021-07-13T00:00:00,1320,33806.024999999965,871.8016000000005,1124
location_3,2021-07-14T00:00:00,1319,33367.14000000001,850.5471499999998,1132
location_3,2021-07-15T00:00:00,1477,36178.23000000001,932.4735500000005,1266
location_3,2021-07-16T00:00:00,1328,34727.935000000005,808.7421499999997,1119
location_3,2021-07-17T00:00:00,1541,38996.620000000024,1005.0390000000001,1315
location_3,2021-07-18T00:00:00,1466,37117.37499999997,840.5064000000003,1234
location_3,2021-07-19T00:00:00,1392,35751.53999999998,819.7544499999999,1166
location_3,2021-07-20T00:00:00,2126,53632.01000000002,1627.3273499999982,1783
location_3,2021-07-21T00:00:00,1397,36405.54500000001,873.5165999999996,1191
location_3,2021-07-22T00:00:00,1456,36725.78500000002,1050.7384500000003,1226
