client,frequency,recency,monetary,order_count
u_117266,334.0,393,38.980000000000004,3
u_117340,238.0,1035,22.0875,3
u_117489,292.5,316,37.843333333333334,5
u_117541,405.5,560,30.873333333333335,3
u_117603,456.0,126,16.7275,4
u_117663,171.0,76,25.932499999999997,5
u_11771,286.0,342,57.16,2
u_11795,701.0,139,29.2,3
u_118143,147.0,961,29.96666666666667,1
u_118229,659.5,50,31.220000000000002,1
u_118325,876.0,398,42.8025,2
u_118509,252.0,564,16.458333333333332,4
u_118836,722.0,372,23.5875,2
u_118857,232.66666666666666,792,25.6375,1
u_119015,398.0,61,33.413333333333334,3
u_1191,802.0,566,11.545,4
u_119200,315.6666666666667,277,26.558749999999996,4
u_119388,353.3333333333333,96,44.743750000000006,2
u_11951,339.6666666666667,445,28.102500000000003,1
u_119576,41.0,734,22.68,6
u_119978,517.0,168,43.968333333333334,5
u_120134,266.3333333333333,30,35.12625,2
u_120184,85.0,374,34.8025,1
u_120372,97.0,1396,41.7675,2
u_120609,434.0,192,36.7125,6
u_12067,133.0,1224,36.46333333333333,3
u_120870,193.0,141,42.4225,4
u_120887,443.0,555,32.846666666666664,2
u_121476,1185.0,254,16.2075,2
u_12152,660.5,120,40.43333333333333,5
u_121538,36.0,793,20.7575,3
u_121597,142.0,5,30.898333333333337,3
u_121615,19.0,590,26.935,3
u_121660,242.0,745,32.175,2
u_121920,398.0,436,34.288333333333334,2
u_121971,27.0,673,56.72,3
u_122149,543.0,140,31.08,1
u_122160,988.0,290,18.0375,2
u_122314,713.0,25,32.11,4
u_122415,1023.0,132,28.775,4
u_122426,325.0,15,34.725,5
u_122566,56.0,636,38.88333333333333,2
u_122621,1101.0,364,32.885000000000005,5
u_122965,315.0,191,29.024,1
u_123074,74.0,532,25.34,2
u_123116,306.0,349,39.4875,2
u_123446,526.0,409,40.84666666666667,4
u_123565,294.0,339,22.8375,2
u_123761,331.0,873,43.2725,1
u_124333,510.0,92,27.23,1
u_124522,203.0,730,32.196666666666665,4
u_124706,275.0,446,19.025,1
u_1248,335.6666666666667,250,25.642500000000002,1
u_12485,675.0,314,29.4025,4
u_125013,377.0,898,37.230000000000004,5
u_125263,1055.0,150,38.6575,3
u_125423,482.0,604,24.85,2
u_125557,322.0,145,26.3,4
u_125760,487.5,480,33.913333333333334,4
u_125814,10.0,57,27.7725,4
u_12582,351.0,553,22.825000000000003,5
u_12592,96.0,246,31.479999999999997,2
u_12608,206.0,766,43.88666666666666,3
u_126186,615.0,72,37.31666666666666,6
u_126197,91.0,436,26.6175,1
u_126237,684.5,101,23.105,1
u_126300,985.0,340,29.1025,4
u_126499,144.0,556,10.0725,3
u_126553,576.0,686,39.355000000000004,6
u_126728,1044.0,265,38.4375,4
u_127459,321.6666666666667,138,39.901250000000005,2
u_12753,361.5,382,23.215,1
u_127659,383.0,291,21.46,4
u_128000,710.0,576,35.64,2
u_128009,163.0,1069,34.055,7
u_128142,643.0,657,34.625,4
u_128197,486.5,480,19.55666666666667,3
u_128229,105.0,363,29.072499999999998,3
u_128295,757.0,520,25.1825,2
u_128694,545.0,373,25.691666666666666,2
u_128733,303.0,268,36.650000000000006,4
u_129271,407.0,769,22.0775,4
u_129290,137.0,825,29.1,3
u_129609,435.0,340,30.81,5
u_129739,634.5,3,38.895,5
u_129778,509.0,297,13.6275,2
u_129950,1227.0,123,12.77,4
u_130166,1226.0,180,28.655,4
u_130468,454.5,247,21.645,1
u_130572,571.0,917,21.845,6
u_130789,350.0,224,23.26625,3
u_13093,384.0,100,36.185,3
u_130988,844.0,317,30.66,4
u_131008,67.0,199,29.009999999999998,2
u_131110,274.0,242,45.971666666666664,1
u_131122,8.0,696,40.957499999999996,3
u_13141,740.0,98,25.9375,2
u_131446,602.0,124,32.37666666666667,4
u_131595,279.0,312,39.62125,11
u_131649,210.5,731,36.04,3
u_131803,698.5,74,31.608333333333334,2
u_131855,438.6666666666667,86,39.746249999999996,3
u_131945,72.0,433,21.175,3
u_131992,321.0,494,24.14,1
u_132299,444.0,420,33.17666666666667,3
u_132307,808.0,120,20.4525,2
u_132357,472.6666666666667,53,24.888749999999995,4
u_132451,383.0,654,20.6,3
u_132601,229.0,765,33.4225,2
u_132792,513.0,163,26.762500000000003,2
u_132910,6.0,1033,26.447499999999998,6
u_132938,947.0,421,39.817499999999995,3
u_133265,683.0,759,43.135,4
u_133489,686.0,567,25.4575,2
u_133557,768.0,195,35.22,4
u_133638,651.0,461,32.7175,3
u_133820,990.0,100,32.2675,3
u_133884,841.0,290,29.447499999999998,3
u_133890,49.0,5,40.0575,6
u_134017,620.0,832,21.7925,1
u_134099,478.0,312,32.0075,3
u_134225,202.5,368,37.60166666666667,2
u_13429,716.0,157,42.052499999999995,4
u_134419,679.0,135,20.835,3
u_134565,352.0,680,27.520000000000003,3
u_134699,1177.0,73,35.285,4
u_134734,652.5,181,28.845,3
u_134921,617.0,102,50.6625,5
u_135059,546.0,552,29.8925,5
u_13555,123.0,1002,39.2975,2
u_136106,497.6666666666667,3,30.816249999999997,5
u_136702,154.0,1254,18.9275,1
u_137269,431.5,216,17.336666666666666,3
u_137290,320.0,842,24.575,3
u_137936,142.66666666666666,853,26.53375,3
u_13829,299.0,128,36.145,1
u_138488,585.0,772,21.402500000000003,4
u_138506,1254.0,190,49.66,1
u_138661,57.0,841,23.625,2
u_138705,492.0,792,30.3675,7
u_138758,19.0,1108,59.625,2
u_138761,419.6666666666667,24,33.113749999999996,6
u_138858,1210.0,51,35.4275,2
u_139027,460.0,1007,35.6375,2
u_139414,287.0,867,26.79,4
u_139492,1421.0,28,34.96,3
u_139765,706.0,748,14.4925,3
u_139837,388.0,13,24.21,2
u_139872,265.0,455,33.498333333333335,1
u_13996,274.5,474,36.99666666666666,6
u_139967,504.0,3,30.9275,7
u_140265,177.0,1194,30.230000000000004,2
u_140363,400.6666666666667,215,33.38625,5
u_140392,180.5,343,34.303333333333335,1
u_140516,519.5,389,22.748333333333335,1
u_14083,426.0,411,13.684999999999999,3
u_141062,552.0,555,31.8075,12
u_141199,1272.0,96,21.4825,2
u_14140,961.0,505,18.88,5
u_141445,306.0,617,29.698333333333334,4
u_141993,454.0,289,19.73,2
u_142345,1383.0,35,24.7975,7
u_142352,302.0,926,36.555,1
u_142374,230.0,1270,28.6075,2
u_14251,82.0,230,24.9625,4
u_14257,250.5,220,23.776666666666667,3
u_142637,431.0,975,28.1025,5
u_143302,266.0,938,29.395,6
u_143376,701.0,80,35.61166666666667,2
u_143378,1379.0,6,33.1025,3
u_143422,36.0,1074,32.59,2
u_143450,1006.0,11,48.075,5
u_14353,471.0,243,28.933333333333334,4
u_143549,281.0,563,39.56,4
u_143840,172.5,288,26.153333333333336,3
u_143882,255.0,629,35.2575,1
u_144325,1181.0,42,23.9975,2
u_14468,402.0,295,41.225,4
u_144854,1071.0,421,26.78,5
u_144872,505.5,170,39.61333333333334,8
u_144883,1398.0,100,28.6575,2
u_145078,261.0,516,28.552500000000002,3
u_145146,798.0,46,35.3275,4
u_145473,811.0,229,39.805,3
u_145498,492.5,296,37.24333333333333,6
u_146134,245.0,135,28.778333333333332,4
u_146339,382.0,554,38.11166666666667,4
u_146439,135.0,954,37.46,5
u_147001,395.0,432,40.065,7
u_147240,198.0,505,34.53,2
u_147653,838.0,517,42.5025,2
u_14771,339.0,461,35.15,1
u_147792,218.0,369,23.22,7
u_147840,213.0,219,38.1425,4
u_148122,935.0,482,31.7075,6
u_148149,1211.0,181,23.575000000000003,3
u_14855,735.0,83,34.894999999999996,3
u_148847,976.0,130,24.605,1
u_149125,93.0,1133,28.95,3
u_149277,355.0,339,38.405,3
u_150004,375.0,899,29.674999999999997,3
u_150391,514.5,75,26.963333333333335,7
u_150504,83.0,1104,32.11,1
u_150519,361.5,339,30.093333333333334,3
u_15069,381.0,156,26.3325,1
u_151106,133.0,120,34.432500000000005,2
u_151214,121.0,436,21.585,2
u_151451,148.0,604,17.27875,6
u_151598,126.14285714285714,533,32.091875,2
u_151658,786.0,705,31.145,2
u_151964,296.0,793,27.965,3
u_152144,263.0,940,14.649999999999999,6
u_152314,187.0,517,15.638333333333334,3
u_15242,583.5,106,22.871666666666666,5
u_152434,326.5,696,20.176666666666666,4
u_152486,274.5,698,26.636666666666667,3
u_152608,670.5,39,34.321666666666665,2
u_152878,463.0,445,19.596666666666668,4
u_152972,353.0,172,38.28,3
u_15345,455.0,412,46.923333333333325,2
u_153452,469.0,170,33.595,3
u_153690,587.5,97,25.655,2
u_153691,1172.0,199,42.9775,1
u_153731,62.0,1305,46.69,4
u_153872,814.0,363,28.5075,2
u_153970,240.0,336,48.42,1
u_153993,562.0,507,44.522499999999994,1
u_154682,138.0,665,28.3925,4
u_155004,283.5,391,31.538333333333338,6
u_155077,277.0,658,16.51,4
u_155198,145.0,432,30.034999999999997,3
u_155200,424.6666666666667,98,39.645,2
u_155285,141.0,800,33.2225,3
u_155301,597.0,603,17.6025,2
u_155495,307.0,649,24.5925,3
u_155655,1420.0,70,32.4,4
u_155826,810.0,464,33.332499999999996,1
u_155970,363.0,198,34.52166666666667,5
u_156063,117.0,1007,27.925,5
u_156137,917.0,572,27.385,5
u_156166,1152.0,53,30.34,2
u_156342,426.0,96,24.745,2
u_156372,588.0,565,25.4925,5
u_156688,495.0,18,24.143333333333334,1
u_156811,1218.0,82,22.7325,2
u_156830,264.0,265,37.51,4
u_157241,358.75,73,30.932,2
u_157289,86.0,422,43.0475,4
u_157493,249.0,338,29.3475,2
u_157614,298.3333333333333,279,22.48125,2
u_157649,277.0,119,39.83,3
u_157656,57.0,1369,39.980000000000004,7
u_157658,887.0,99,23.23,1
u_157793,14.0,724,24.545,1
u_157845,433.6666666666667,124,25.44125,4
u_157924,980.0,306,40.7175,5
u_158570,699.0,437,26.295,2
u_158767,135.0,346,12.725,1
u_158960,72.0,659,45.715,4
u_158977,912.0,487,43.185,2
u_159087,276.0,923,30.1025,2
u_159175,605.0,632,32.7575,7
u_159334,780.0,649,30.8125,5
u_159360,440.0,146,33.593333333333334,6
u_15941,402.5,412,19.56833333333333,3
u_159638,1168.0,80,27.15,1
u_159837,235.0,254,27.945,12
u_159928,418.0,124,37.4625,4
u_159939,377.0,948,30.4325,1
u_16022,228.0,649,23.618333333333336,3
u_160502,525.0,345,29.2875,7
u_160741,700.0,109,31.336666666666662,3
u_160779,1371.0,25,24.535,3
u_160843,79.66666666666667,794,27.293750000000003,4
u_16114,24.0,147,42.379999999999995,5
u_161180,214.75,314,37.108999999999995,5
u_161526,300.0,225,23.802500000000002,9
u_161664,64.5,1292,38.998333333333335,2
u_161677,11.0,842,29.4,4
u_161812,774.0,25,28.5775,6
u_161843,298.5,772,26.615,3
u_161941,553.0,288,41.0825,4
u_16235,157.0,327,33.99,2
u_162412,593.0,182,37.082499999999996,2
u_162605,476.0,148,37.9625,5
u_162925,189.0,1170,26.549999999999997,3
u_162987,809.0,482,35.0575,1
u_1631,20.0,296,39.8875,1
u_163317,1236.0,206,35.66,2
u_163402,337.0,362,16.47,2
u_163538,594.5,240,33.88666666666666,2
u_163753,239.33333333333334,680,30.8475,2
u_163820,905.0,460,40.42,5
u_164540,225.0,615,16.155,4
u_164871,185.5,554,29.495,4
u_165094,80.66666666666667,1132,25.096249999999998,2
u_165219,497.0,816,32.2725,1
u_165369,640.0,733,21.65,2
u_165463,460.6666666666667,58,25.0225,2
u_165697,31.0,213,27.307499999999997,3
u_166107,374.0,739,34.38166666666667,3
u_166143,197.0,500,29.862499999999997,2
u_166194,401.0,387,28.373333333333335,4
u_166303,311.3333333333333,156,29.46375,5
u_16634,77.0,792,28.375,6
u_167226,51.0,814,49.807500000000005,2
u_167358,48.0,194,30.73,3
u_167378,845.0,362,20.502499999999998,2
u_167410,563.5,289,24.51,3
u_167465,526.0,411,25.067500000000003,1
u_167522,807.0,299,34.2575,1
u_167666,1068.0,252,32.9375,5
u_16816,437.0,301,43.98333333333333,6
u_168943,155.0,889,30.47,1
u_16895,512.0,895,28.8275,2
u_169029,545.0,827,30.317500000000003,3
u_16940,279.0,509,10.48,6
u_169825,1170.0,144,25.9075,3
u_169904,756.0,228,24.435000000000002,1
u_170043,22.0,799,31.73,11
u_170139,220.0,562,22.352999999999998,3
u_170272,746.0,266,12.7675,2
u_170357,528.0,580,31.9975,6
u_170420,258.6666666666667,27,31.315,3
u_170520,305.5,329,48.73499999999999,3
u_17056,611.0,104,22.595,4
u_17064,139.0,568,20.33,4
u_170663,124.0,1340,33.89,2
u_170786,540.0,26,27.048333333333336,1
u_171066,898.0,505,47.6325,3
u_171223,43.0,470,32.582499999999996,2
u_171528,586.5,5,26.78,2
u_171635,90.0,77,16.425,2
u_17180,240.66666666666666,505,28.8925,4
u_172145,788.0,700,31.5675,2
u_172152,747.0,485,23.3675,1
u_172168,856.0,633,13.6025,4
u_172607,196.33333333333334,420,24.225,4
u_172609,352.0,162,21.366666666666664,6
u_17266,338.0,364,29.85833333333333,2
u_172703,671.0,27,17.566666666666666,2
u_173082,355.0,101,23.225,6
u_173095,645.0,98,22.5175,2
u_173129,22.0,1111,50.8075,1
u_17327,887.0,582,41.7825,6
u_173374,700.0,292,23.255,1
u_17356,534.0,909,46.644999999999996,3
u_173666,246.66666666666666,432,23.75,5
u_173696,527.5,171,22.998333333333335,4
u_173713,1182.0,32,28.142500000000002,2
u_173741,305.0,29,23.78,1
u_174047,711.0,730,42.22,4
u_174087,357.0,310,46.83,7
u_174132,518.0,134,21.9675,3
u_174554,880.0,396,32.1275,5
u_174603,318.0,501,26.2075,3
u_174613,280.5,162,36.53,1
u_174785,318.0,797,15.962499999999999,2
u_175045,861.0,580,20.86,1
u_17511,669.0,267,16.5225,4
u_175556,409.0,485,21.08,4
u_175679,131.0,1146,25.252499999999998,4
u_17571,422.0,977,43.14,4
u_175906,422.5,396,17.45,3
u_176134,353.0,99,30.91,4
u_176229,19.0,345,7.845,1
u_176309,234.5,81,31.296666666666667,3
u_176312,374.0,150,45.82,3
u_176439,570.0,15,21.791666666666668,1
u_17645,933.0,79,47.8575,3
u_176581,284.0,1064,26.895,2
u_17671,383.5,171,35.115,2
u_176738,191.0,559,38.11833333333333,1
u_176979,405.6666666666667,79,27.03125,2
u_177143,239.5,1009,44.78666666666667,5
u_177223,392.0,439,31.575,4
u_177263,518.0,638,27.450000000000003,2
u_177664,359.0,553,40.86,4
u_177712,172.0,125,35.48333333333333,4
u_178130,473.5,395,34.083333333333336,2
u_178396,853.0,576,34.620000000000005,4
u_178512,358.0,917,33.254999999999995,2
u_178561,189.0,989,43.7725,1
u_17859,443.0,734,23.23,9
u_178736,584.0,689,34.775000000000006,2
u_178803,826.0,254,22.057499999999997,4
u_178961,590.0,148,36.92333333333333,5
u_178981,51.0,1137,40.865,3
u_179099,287.0,225,23.726,2
u_179302,233.0,746,28.8525,3
u_179509,455.0,936,31.335,1
u_179578,289.0,75,19.674999999999997,2
u_180042,194.5,741,16.481666666666666,1
u_180203,780.0,265,14.1375,1
u_180261,120.0,1108,43.16,1
u_180268,766.0,582,18.0125,4
u_180357,1168.0,107,27.4175,3
u_180499,467.0,566,34.913333333333334,3
u_180769,592.5,172,27.97666666666667,3
u_180800,274.5,29,38.973333333333336,1
u_180866,1052.0,104,32.08,2
u_180899,119.66666666666667,3,34.88,6
u_181040,344.0,463,30.055,2
u_181105,731.0,504,30.232499999999998,5
u_181120,477.0,55,46.155,2
u_181380,651.5,124,38.41,2
u_181416,576.0,768,26.122500000000002,3
u_181447,312.0,485,22.7525,2
u_181468,86.0,773,36.03,2
u_181495,71.2,314,34.04833333333333,3
u_181725,447.0,440,18.630000000000003,1
u_181803,419.5,434,25.965,4
u_181876,695.0,339,41.1525,5
u_181947,409.0,841,33.8475,10
u_18196,506.0,804,20.2575,2
u_182208,5.0,171,27.6625,1
u_182271,522.0,26,6.6499999999999995,3
u_182575,529.0,558,12.805,1
u_183028,509.0,966,27.884999999999998,3
u_183034,83.25,864,24.435000000000002,4
u_183199,91.0,12,25.455,5
u_183409,327.3333333333333,293,28.650000000000002,1
u_183508,37.5,1180,23.003333333333334,4
u_183961,737.0,176,38.145,4
u_184040,689.0,9,26.203333333333333,2
u_184108,52.5,1078,22.031666666666666,7
u_184438,119.0,50,20.9625,5
u_184454,583.0,554,40.735,6
u_184642,651.0,55,31.0475,2
u_184718,233.25,292,23.968,5
u_184842,272.3333333333333,638,22.014999999999997,6
u_185410,262.5,819,25.666666666666668,2
u_185440,623.0,1,32.86,4
u_185773,768.0,504,26.1425,2
u_185907,329.5,254,35.87833333333333,2
u_185974,251.0,924,27.177500000000002,2
u_185987,438.0,468,15.197500000000002,3
u_186071,939.0,48,35.8225,2
u_18611,312.0,840,34.708333333333336,5
u_186447,226.0,438,29.69333333333334,4
u_186684,318.5,89,30.473000000000003,2
u_186839,188.0,245,31.165,7
u_186913,161.0,293,35.4575,1
u_186984,91.5,867,21.718333333333334,2
u_187021,669.0,123,27.27,2
u_187186,973.0,395,31.284999999999997,2
u_187207,789.0,345,30.082500000000003,2
u_187244,696.0,168,31.5775,2
u_187307,301.5,269,29.001666666666665,5
u_187465,518.5,13,32.406666666666666,2
u_187702,1191.0,286,34.457499999999996,4
u_187733,656.0,744,34.675,2
u_187774,96.0,558,22.5625,1
u_18778,590.0,56,41.895,2
u_18790,1193.0,127,33.72,4
u_187906,135.0,570,41.5175,4
u_18792,111.0,904,31.03,4
u_187984,777.0,526,37.255,2
u_188098,181.0,1260,25.9425,5
u_188125,315.0,607,34.52,5
u_18847,316.0,971,21.765,4
u_188497,898.0,0,25.450000000000003,4
u_188781,266.0,1037,14.0425,3
u_188958,367.0,569,21.315,3
u_188970,537.0,642,24.32,4
u_188976,226.5,843,35.51833333333333,5
u_189028,330.0,416,18.5975,3
u_189561,146.0,293,24.233333333333334,2
u_189632,119.0,529,31.805,2
u_18965,406.0,866,22.247500000000002,1
u_189781,99.0,337,22.027500000000003,1
u_190039,468.0,786,37.3675,2
u_190055,438.0,267,24.0625,4
u_190138,285.0,195,29.365,4
u_190575,254.0,2,18.662499999999998,1
u_190649,1135.0,79,36.7,2
u_190811,127.0,1109,50.182500000000005,5
u_19110,718.0,99,24.775,1
u_191124,323.75,101,29.259000000000004,4
u_191327,299.5,28,19.886666666666667,4
u_191697,543.0,729,30.57,3
u_19188,321.5,677,32.803333333333335,3
u_192105,152.5,344,25.433333333333334,2
u_192108,199.0,153,32.7525,3
u_192143,462.0,442,20.1625,6
u_192678,189.0,701,27.549999999999997,1
u_19328,472.5,13,32.906666666666666,3
u_193391,1224.0,50,22.22,4
u_193599,726.0,464,23.895,4
u_194119,385.0,581,26.155,3
u_194179,670.0,120,33.405,2
u_194193,256.0,367,35.7,4
u_194353,241.0,358,25.146666666666665,4
u_19444,1033.0,229,39.2325,6
u_19452,452.5,390,26.123333333333335,1
u_194524,321.5,243,18.085,6
u_194609,218.0,48,23.554999999999996,6
u_19464,273.0,121,33.567499999999995,3
u_194797,960.0,26,39.989999999999995,2
u_195084,319.0,775,43.18,3
u_195166,1048.0,56,22.362499999999997,4
u_195258,597.5,306,20.161666666666665,3
u_195408,198.0,902,22.912499999999998,6
u_195504,196.0,960,32.052499999999995,2
u_195507,526.0,246,34.096666666666664,2
u_195559,716.0,780,24.1575,2
u_195647,94.0,962,21.01,4
u_195916,829.0,447,22.854999999999997,3
u_195921,537.0,283,34.8975,1
u_195979,358.0,557,21.6275,3
u_196508,379.0,12,29.622500000000002,6
u_196518,39.0,77,21.9575,1
u_196525,510.0,686,22.315,4
u_196903,490.0,615,20.509999999999998,3
u_196936,237.0,1230,30.667499999999997,5
u_197170,362.6666666666667,23,26.46125,2
u_197522,374.0,190,27.377499999999998,2
u_197775,1235.0,254,23.5875,5
u_197805,466.0,340,39.412499999999994,3
u_197943,21.0,950,19.095,1
u_197998,212.0,1277,33.01,2
u_198073,1087.0,103,27.915,4
u_198077,966.0,417,19.45,3
u_198482,406.0,372,49.459999999999994,3
u_198562,452.5,359,35.555,2
u_198841,454.0,441,19.058333333333334,6
u_198935,503.0,437,35.59,2
u_199068,823.0,94,20.2425,3
u_19912,90.0,1078,16.235,7
u_199146,450.0,977,33.56,6
u_199315,81.5,228,30.52666666666666,1
u_19941,674.0,651,27.7475,4
u_199411,1.0,1445,28.674999999999997,4
u_199521,859.0,101,32.515,1
u_199770,194.0,1177,47.209999999999994,4
u_200104,433.0,741,21.5075,4
u_200244,275.6,83,35.86333333333334,1
u_20027,132.33333333333334,686,39.59125,4
u_200421,188.8,99,37.68333333333333,3
u_200484,633.0,497,27.9375,2
u_20073,124.0,1135,34.2475,6
u_201122,143.0,999,20.1275,3
u_201342,750.0,380,35.290000000000006,4
u_201421,1392.0,74,24.405,2
u_201527,565.0,816,19.509999999999998,3
u_201560,112.0,24,27.845,3
u_201563,364.0,31,20.65,2
u_201833,123.0,984,40.705,4
u_202321,419.0,363,16.095,4
u_202597,22.0,436,35.545,4
u_202650,258.0,6,34.78,5
u_203074,660.0,290,38.0275,3
u_203427,49.0,851,28.64,2
u_203579,811.0,31,32.405,1
u_20364,441.6666666666667,33,41.919999999999995,1
u_203656,26.0,772,24.580000000000002,2
u_20366,479.5,436,30.909999999999997,2
u_203827,385.3333333333333,74,27.82875,3
u_203886,72.0,192,37.725,1
u_20404,49.5,581,31.583333333333332,3
u_204130,467.0,26,21.313333333333333,2
u_204178,583.0,290,35.88333333333333,4
u_204349,1126.0,99,25.657500000000002,4
u_204697,321.5,12,26.266,4
u_205063,133.0,974,25.347499999999997,3
u_20521,275.5,336,24.63166666666667,1
u_205238,336.0,556,36.16,2
u_205479,410.0,127,41.95,5
u_20548,412.0,98,23.615000000000002,4
u_205679,257.0,936,27.531666666666666,4
u_205918,737.0,560,24.142500000000002,2
u_206173,158.0,1185,26.645,3
u_206190,651.0,600,16.53,4
u_206352,251.5,586,27.090000000000003,1
u_206373,529.0,360,21.015,4
u_206477,51.333333333333336,156,17.513749999999998,2
u_206971,94.0,794,28.8525,4
u_206998,731.0,5,34.02666666666667,4
u_207653,52.0,410,47.91,3
u_207688,864.0,30,35.4575,1
u_207718,503.5,388,37.11333333333334,4
u_207721,477.0,146,21.39,1
u_207802,149.0,243,26.7925,2
u_208158,579.0,184,29.159999999999997,5
u_2082,287.0,25,21.505,3
u_208273,285.0,293,39.629999999999995,1
u_208461,382.0,53,33.9325,4
u_20868,659.5,122,43.97,4
u_208684,867.0,435,21.9575,1
u_208990,487.0,653,24.7025,5
u_209034,534.0,312,24.356666666666666,4
u_209352,45.0,1420,22.2225,4
u_209380,698.0,19,28.2925,3
u_209512,637.0,289,25.35,1
u_209581,442.0,925,22.572499999999998,6
u_209672,141.0,797,18.605,2
u_209825,153.0,171,37.445,5
u_210184,384.5,336,28.005,2
u_210240,211.0,925,23.26,1
u_210260,1133.0,103,16.962500000000002,4
u_210277,861.0,247,20.932499999999997,2
u_210562,325.5,811,34.445,1
u_210594,289.0,559,20.2675,8
u_210610,1265.0,140,24.7475,1
u_211096,633.0,104,35.339999999999996,5
u_211137,872.0,427,41.2725,3
u_211248,290.0,266,22.6475,4
u_211436,376.6666666666667,102,28.865000000000002,4
u_212576,884.0,413,38.5,2
u_212952,169.0,1160,17.493333333333332,7
u_213044,376.0,236,37.43833333333333,6
u_21316,300.0,564,42.13875,8
u_213328,145.0,27,29.8675,2
u_213841,1198.0,228,31.72,1
u_213866,352.3333333333333,393,26.747500000000002,1
u_21388,226.0,1157,16.355,1
u_213967,745.0,291,50.2775,3
u_21402,268.25,222,27.438,2
u_214567,192.0,268,28.915,3
u_214593,409.5,291,29.265,1
u_214789,641.0,169,39.193333333333335,2
u_214930,373.0,183,37.693749999999994,5
u_215057,439.0,772,28.0325,2
u_215510,419.0,400,40.625,2
u_215569,255.5,888,31.593333333333334,1
u_215842,683.5,111,20.900000000000002,6
u_215863,273.0,663,21.9275,6
u_216050,38.0,892,27.1225,2
u_216192,366.5,420,32.62833333333333,3
u_216916,733.0,769,27.0075,6
u_217330,486.0,334,25.052500000000002,1
u_217436,1200.0,193,28.3,6
u_217599,331.0,4,20.745,3
