pickup_id,latitude,longitude,prepare
rest_880,40.9838723,29.0721023,1.4916666666666667
rest_176,40.9852525,29.0615369,2.3845744680851064
rest_869,41.0061584,29.0409134,2.3327586206896553
rest_637,40.9841584,29.0584083,2.4699633699633696
rest_425,40.9854819,29.0416013,2.5916666666666663
rest_205,40.9840674,29.0588391,4.999333333333333
rest_778,40.9932725,29.0287855,2.289153439153439
rest_650,40.9886221,29.0267308,2.5186111111111114
rest_805,40.9975257,29.0333925,5.766666666666667
rest_921,40.9998073,29.0360634,1.767948717948718
rest_730,40.9838723,29.0721023,1.7833333333333332
rest_9,40.9853758,29.067773,2.5233333333333334
rest_530,40.9872918,29.0705068,4.01
rest_745,40.987568,29.0605601,3.939814814814815
rest_706,40.9655559,29.0710524,2.404722222222222
rest_138,40.9923708,29.0276226,2.4944444444444445
rest_700,40.9966374,29.0359237,1.9523809523809523
rest_336,40.9656997,29.060088,3.7423076923076923
rest_291,40.9656997,29.060088,2.2891472868217053
rest_616,40.9833243,29.0237359,2.925352112676056
rest_237,40.9843987,29.0709893,2.541666666666667
rest_1003,40.9864484,29.07219,2.550787878787879
rest_654,40.9867569,29.059069,3.5706666666666664
rest_660,40.9875801,29.0285248,2.524025974025974
rest_677,40.9886982,29.0690417,2.5654761904761902
rest_1006,40.9842535,29.0431925,2.5058183795541056
rest_986,40.9855452,29.0721108,1.5566666666666666
rest_429,40.9656522,29.0602052,2.7419540229885055
rest_89,40.9954803,29.0349695,2.6866666666666665
rest_49,40.986702,29.0704593,2.1366666666666667
rest_227,40.9862579,29.0254396,4.587037037037037
rest_741,40.981275,29.0397299,2.220289855072464
rest_450,40.9965463,29.0359479,2.036111111111111
rest_289,40.9907325,29.0295795,2.470736434108527
rest_1004,41.0053654,29.0427317,2.5902094240837696
rest_877,40.9655609,29.0667777,3.033333333333333
rest_875,40.9630975,29.0705187,1.8723684210526317
rest_612,40.9656522,29.0602052,2.793103448275862
rest_73,40.9845593,29.0397726,2.4755291005291005
rest_199,40.9877802,29.0685488,3.2416666666666667
rest_236,40.9654952,29.069517,2.571899224806202
rest_912,40.9882874,29.0319396,4.391071428571428
rest_1009,40.9977377,29.0387159,2.631168831168831
rest_470,40.9960586,29.0386775,3.0791666666666666
