outlier,Anomaly Score Download to First Order,daily
0.85,0.8174357103775306,2021-03-31T00:00:00
0.76,0.814077263485229,2021-04-01T00:00:00
0.76,0.8041694388999779,2021-04-02T00:00:00
0.76,0.8126877540201449,2021-04-03T00:00:00
0.76,0.8150610969025291,2021-04-04T00:00:00
0.76,0.8147353361945636,2021-04-05T00:00:00
0.76,0.8160029498525073,2021-04-06T00:00:00
0.85,0.8185962884479547,2021-04-07T00:00:00
0.76,0.8156531747554192,2021-04-08T00:00:00
0.76,0.807061340941512,2021-04-09T00:00:00
0.76,0.8164637470470653,2021-04-10T00:00:00
0.76,0.8136099585062241,2021-04-11T00:00:00
0.76,0.81216457960644,2021-04-12T00:00:00
0.76,0.8147870613213438,2021-04-13T00:00:00
0.85,0.8238351944551404,2021-04-14T00:00:00
0.76,0.8142557651991614,2021-04-15T00:00:00
0.76,0.8110488857776222,2021-04-16T00:00:00
0.76,0.8162221410303253,2021-04-17T00:00:00
0.76,0.816167942472744,2021-04-18T00:00:00
0.85,0.8253179650238472,2021-04-19T00:00:00
0.76,0.8162168915542228,2021-04-20T00:00:00
0.76,0.8156202723146748,2021-04-21T00:00:00
0.85,0.8178877259752616,2021-04-22T00:00:00
0.76,0.8074430771059985,2021-04-23T00:00:00
0.76,0.8058791801510248,2021-04-24T00:00:00
0.76,0.8086764955092357,2021-04-25T00:00:00
0.76,0.80796719390744,2021-04-26T00:00:00
0.76,0.8135328405744847,2021-04-27T00:00:00
0.85,0.8250048234613159,2021-04-28T00:00:00
0.85,0.81846355563502,2021-04-29T00:00:00
0.76,0.8158476339053561,2021-04-30T00:00:00
0.76,0.814956563999757,2021-05-01T00:00:00
0.85,0.8180285343709469,2021-05-02T00:00:00
0.85,0.8213333333333334,2021-05-03T00:00:00
0.85,0.8255573905862924,2021-05-04T00:00:00
0.76,0.811484461271494,2021-05-05T00:00:00
0.76,0.8162379757423673,2021-05-06T00:00:00
0.85,0.8235167554192889,2021-05-07T00:00:00
0.76,0.8095470837406321,2021-05-08T00:00:00
0.85,0.8266189197254551,2021-05-09T00:00:00
0.76,0.815018611425797,2021-05-10T00:00:00
0.76,0.8159478435305919,2021-05-11T00:00:00
0.85,0.8186064402681614,2021-05-12T00:00:00
0.76,0.8133073677377475,2021-05-13T00:00:00
0.85,0.8239889429721772,2021-05-14T00:00:00
0.85,0.8259330199082942,2021-05-15T00:00:00
0.76,0.8163936253204057,2021-05-16T00:00:00
0.85,0.8179787828029035,2021-05-17T00:00:00
0.76,0.8140230323853151,2021-05-18T00:00:00
0.85,0.817355563274285,2021-05-19T00:00:00
0.76,0.8170731707317073,2021-05-20T00:00:00
0.85,0.8227363818546184,2021-05-21T00:00:00
0.76,0.8152829796088223,2021-05-22T00:00:00
0.85,0.8207726798108225,2021-05-23T00:00:00
0.85,0.8178694158075602,2021-05-24T00:00:00
0.85,0.8189355742296919,2021-05-25T00:00:00
0.85,0.8180729166666666,2021-05-26T00:00:00
0.85,0.8183787561146052,2021-05-27T00:00:00
