,hours,product,order_count,product_order_count_rank,hourly_total_orders,hourly_order_ratio
68,0,p_16,18,135,640,0.028125
69,0,p_160,21,85,640,0.0328125
70,0,p_161,23,52,640,0.0359375
71,0,p_162,24,39,640,0.0375
72,0,p_163,14,179,640,0.021875
73,0,p_164,12,192,640,0.01875
74,0,p_165,13,187,640,0.0203125
75,0,p_166,22,64,640,0.034375
76,0,p_167,22,65,640,0.034375
77,0,p_168,20,104,640,0.03125
78,0,p_169,23,53,640,0.0359375
79,0,p_17,14,180,640,0.021875
80,0,p_170,21,86,640,0.0328125
81,0,p_171,19,116,640,0.0296875
82,0,p_172,20,105,640,0.03125
83,0,p_173,28,7,640,0.04375
84,0,p_174,15,171,640,0.0234375
85,0,p_175,20,106,640,0.03125
86,0,p_176,25,25,640,0.0390625
87,0,p_177,17,147,640,0.0265625
88,0,p_178,22,66,640,0.034375
89,0,p_179,13,188,640,0.0203125
90,0,p_18,28,8,640,0.04375
91,0,p_180,17,148,640,0.0265625
92,0,p_181,23,54,640,0.0359375
93,0,p_182,18,136,640,0.028125
94,0,p_183,16,159,640,0.025
95,0,p_184,17,149,640,0.0265625
96,0,p_185,23,55,640,0.0359375
97,0,p_186,19,117,640,0.0296875
98,0,p_187,21,87,640,0.0328125
99,0,p_188,17,150,640,0.0265625
100,0,p_189,21,88,640,0.0328125
101,0,p_19,19,118,640,0.0296875
102,0,p_190,21,89,640,0.0328125
103,0,p_191,16,160,640,0.025
104,0,p_192,20,107,640,0.03125
105,0,p_193,19,119,640,0.0296875
106,0,p_194,23,56,640,0.0359375
107,0,p_195,19,120,640,0.0296875
108,0,p_196,14,181,640,0.021875
109,0,p_197,27,13,640,0.0421875
110,0,p_198,26,19,640,0.040625
111,0,p_199,24,40,640,0.0375
112,0,p_2,21,90,640,0.0328125
113,0,p_20,27,14,640,0.0421875
114,0,p_21,20,108,640,0.03125
115,0,p_22,17,151,640,0.0265625
116,0,p_23,14,182,640,0.021875
117,0,p_24,19,121,640,0.0296875
118,0,p_25,16,161,640,0.025
119,0,p_26,22,67,640,0.034375
120,0,p_27,19,122,640,0.0296875
121,0,p_28,17,152,640,0.0265625
122,0,p_29,15,172,640,0.0234375
123,0,p_3,21,91,640,0.0328125
124,0,p_30,16,162,640,0.025
125,0,p_31,22,68,640,0.034375
126,0,p_32,24,41,640,0.0375
127,0,p_33,22,69,640,0.034375
128,0,p_34,16,163,640,0.025
129,0,p_35,17,153,640,0.0265625
130,0,p_36,18,137,640,0.028125
131,0,p_37,15,173,640,0.0234375
132,0,p_38,17,154,640,0.0265625
133,0,p_39,14,183,640,0.021875
134,0,p_4,19,123,640,0.0296875
135,0,p_40,16,164,640,0.025
136,0,p_41,22,70,640,0.034375
137,0,p_42,19,124,640,0.0296875
138,0,p_43,19,125,640,0.0296875
139,0,p_44,19,126,640,0.0296875
140,0,p_45,15,174,640,0.0234375
141,0,p_46,25,26,640,0.0390625
142,0,p_47,12,193,640,0.01875
143,0,p_48,21,92,640,0.0328125
144,0,p_49,21,93,640,0.0328125
145,0,p_5,25,27,640,0.0390625
146,0,p_50,21,94,640,0.0328125
147,0,p_51,22,71,640,0.034375
148,0,p_52,23,57,640,0.0359375
149,0,p_53,22,72,640,0.034375
150,0,p_54,18,138,640,0.028125
151,0,p_55,14,184,640,0.021875
152,0,p_56,25,28,640,0.0390625
153,0,p_57,17,155,640,0.0265625
154,0,p_58,28,9,640,0.04375
155,0,p_59,25,29,640,0.0390625
156,0,p_6,16,165,640,0.025
157,0,p_60,18,139,640,0.028125
158,0,p_61,14,185,640,0.021875
159,0,p_62,25,30,640,0.0390625
160,0,p_63,31,1,640,0.0484375
161,0,p_64,11,195,640,0.0171875
162,0,p_65,23,58,640,0.0359375
163,0,p_66,26,20,640,0.040625
164,0,p_67,16,166,640,0.025
165,0,p_68,19,127,640,0.0296875
166,0,p_69,18,140,640,0.028125
167,0,p_7,19,128,640,0.0296875
168,0,p_70,23,59,640,0.0359375
169,0,p_71,22,73,640,0.034375
170,0,p_72,19,129,640,0.0296875
171,0,p_73,24,42,640,0.0375
172,0,p_74,22,74,640,0.034375
173,0,p_75,18,141,640,0.028125
174,0,p_76,16,167,640,0.025
175,0,p_77,11,196,640,0.0171875
176,0,p_78,29,3,640,0.0453125
177,0,p_79,25,31,640,0.0390625
178,0,p_8,18,142,640,0.028125
179,0,p_80,20,109,640,0.03125
180,0,p_81,16,168,640,0.025
181,0,p_82,18,143,640,0.028125
182,0,p_83,11,197,640,0.0171875
183,0,p_84,21,95,640,0.0328125
184,0,p_85,25,32,640,0.0390625
185,0,p_86,24,43,640,0.0375
186,0,p_87,13,189,640,0.0203125
187,0,p_88,19,130,640,0.0296875
188,0,p_89,24,44,640,0.0375
189,0,p_9,17,156,640,0.0265625
190,0,p_90,29,4,640,0.0453125
191,0,p_91,22,75,640,0.034375
192,0,p_92,10,200,640,0.015625
193,0,p_93,11,198,640,0.0171875
194,0,p_94,18,144,640,0.028125
195,0,p_95,23,60,640,0.0359375
196,0,p_96,14,186,640,0.021875
197,0,p_97,20,110,640,0.03125
198,0,p_98,21,96,640,0.0328125
199,0,p_99,21,97,640,0.0328125
200,1,p_0,22,135,785,0.02802547770700637
201,1,p_1,21,158,785,0.0267515923566879
202,1,p_10,27,49,785,0.034394904458598725
203,1,p_100,27,50,785,0.034394904458598725
204,1,p_101,32,10,785,0.04076433121019108
205,1,p_102,21,159,785,0.0267515923566879
206,1,p_103,27,51,785,0.034394904458598725
207,1,p_104,30,18,785,0.03821656050955414
208,1,p_105,25,76,785,0.03184713375796178
209,1,p_106,28,37,785,0.035668789808917196
210,1,p_107,29,25,785,0.03694267515923567
211,1,p_108,26,64,785,0.033121019108280254
212,1,p_109,22,136,785,0.02802547770700637
213,1,p_11,23,117,785,0.02929936305732484
214,1,p_110,29,26,785,0.03694267515923567
215,1,p_111,20,173,785,0.025477707006369428
216,1,p_112,23,118,785,0.02929936305732484
217,1,p_113,28,38,785,0.035668789808917196
218,1,p_114,26,65,785,0.033121019108280254
219,1,p_115,19,181,785,0.024203821656050957
220,1,p_116,29,27,785,0.03694267515923567
221,1,p_117,18,188,785,0.022929936305732482
222,1,p_118,24,101,785,0.030573248407643312
223,1,p_119,25,77,785,0.03184713375796178
224,1,p_12,21,160,785,0.0267515923566879
225,1,p_120,25,78,785,0.03184713375796178
226,1,p_121,22,137,785,0.02802547770700637
227,1,p_122,24,102,785,0.030573248407643312
228,1,p_123,13,200,785,0.016560509554140127
229,1,p_124,19,182,785,0.024203821656050957
230,1,p_125,23,119,785,0.02929936305732484
231,1,p_126,23,120,785,0.02929936305732484
232,1,p_127,15,196,785,0.01910828025477707
233,1,p_128,23,121,785,0.02929936305732484
234,1,p_129,22,138,785,0.02802547770700637
235,1,p_13,23,122,785,0.02929936305732484
236,1,p_130,29,28,785,0.03694267515923567
237,1,p_131,20,174,785,0.025477707006369428
238,1,p_132,23,123,785,0.02929936305732484
239,1,p_133,23,124,785,0.02929936305732484
240,1,p_134,31,15,785,0.03949044585987261
241,1,p_135,30,19,785,0.03821656050955414
242,1,p_136,27,52,785,0.034394904458598725
243,1,p_137,27,53,785,0.034394904458598725
244,1,p_138,19,183,785,0.024203821656050957
245,1,p_139,23,125,785,0.02929936305732484
246,1,p_14,26,66,785,0.033121019108280254
247,1,p_140,29,29,785,0.03694267515923567
248,1,p_141,27,54,785,0.034394904458598725
249,1,p_142,24,103,785,0.030573248407643312
250,1,p_143,33,6,785,0.04203821656050955
251,1,p_144,32,11,785,0.04076433121019108
252,1,p_145,26,67,785,0.033121019108280254
253,1,p_146,22,139,785,0.02802547770700637
254,1,p_147,24,104,785,0.030573248407643312
255,1,p_148,21,161,785,0.0267515923566879
256,1,p_149,24,105,785,0.030573248407643312
257,1,p_15,26,68,785,0.033121019108280254
258,1,p_150,22,140,785,0.02802547770700637
259,1,p_151,30,20,785,0.03821656050955414
260,1,p_152,23,126,785,0.02929936305732484
261,1,p_153,25,79,785,0.03184713375796178
262,1,p_154,24,106,785,0.030573248407643312
263,1,p_155,24,107,785,0.030573248407643312
264,1,p_156,25,80,785,0.03184713375796178
265,1,p_157,21,162,785,0.0267515923566879
266,1,p_158,22,141,785,0.02802547770700637
267,1,p_159,20,175,785,0.025477707006369428
268,1,p_16,15,197,785,0.01910828025477707
269,1,p_160,30,21,785,0.03821656050955414
270,1,p_161,24,108,785,0.030573248407643312
271,1,p_162,28,39,785,0.035668789808917196
272,1,p_163,27,55,785,0.034394904458598725
273,1,p_164,25,81,785,0.03184713375796178
274,1,p_165,32,12,785,0.04076433121019108
275,1,p_166,25,82,785,0.03184713375796178
276,1,p_167,20,176,785,0.025477707006369428
277,1,p_168,21,163,785,0.0267515923566879
278,1,p_169,22,142,785,0.02802547770700637
279,1,p_17,21,164,785,0.0267515923566879
280,1,p_170,22,143,785,0.02802547770700637
281,1,p_171,19,184,785,0.024203821656050957
282,1,p_172,27,56,785,0.034394904458598725
283,1,p_173,21,165,785,0.0267515923566879
284,1,p_174,25,83,785,0.03184713375796178
285,1,p_175,26,69,785,0.033121019108280254
286,1,p_176,28,40,785,0.035668789808917196
287,1,p_177,22,144,785,0.02802547770700637
288,1,p_178,25,84,785,0.03184713375796178
289,1,p_179,23,127,785,0.02929936305732484
290,1,p_18,25,85,785,0.03184713375796178
291,1,p_180,25,86,785,0.03184713375796178
292,1,p_181,33,7,785,0.04203821656050955
293,1,p_182,24,109,785,0.030573248407643312
294,1,p_183,28,41,785,0.035668789808917196
295,1,p_184,25,87,785,0.03184713375796178
296,1,p_185,35,4,785,0.044585987261146494
297,1,p_186,20,177,785,0.025477707006369428
298,1,p_187,25,88,785,0.03184713375796178
299,1,p_188,20,178,785,0.025477707006369428
300,1,p_189,24,110,785,0.030573248407643312
301,1,p_19,27,57,785,0.034394904458598725
302,1,p_190,21,166,785,0.0267515923566879
303,1,p_191,19,185,785,0.024203821656050957
304,1,p_192,28,42,785,0.035668789808917196
305,1,p_193,29,30,785,0.03694267515923567
306,1,p_194,25,89,785,0.03184713375796178
307,1,p_195,25,90,785,0.03184713375796178
308,1,p_196,37,3,785,0.04713375796178344
309,1,p_197,22,145,785,0.02802547770700637
310,1,p_198,22,146,785,0.02802547770700637
311,1,p_199,27,58,785,0.034394904458598725
312,1,p_2,25,91,785,0.03184713375796178
313,1,p_20,26,70,785,0.033121019108280254
314,1,p_21,21,167,785,0.0267515923566879
315,1,p_22,26,71,785,0.033121019108280254
316,1,p_23,21,168,785,0.0267515923566879
317,1,p_24,25,92,785,0.03184713375796178
318,1,p_25,17,189,785,0.02165605095541401
319,1,p_26,24,111,785,0.030573248407643312
320,1,p_27,24,112,785,0.030573248407643312
321,1,p_28,30,22,785,0.03821656050955414
322,1,p_29,22,147,785,0.02802547770700637
323,1,p_3,27,59,785,0.034394904458598725
324,1,p_30,22,148,785,0.02802547770700637
325,1,p_31,25,93,785,0.03184713375796178
326,1,p_32,29,31,785,0.03694267515923567
327,1,p_33,22,149,785,0.02802547770700637
328,1,p_34,33,8,785,0.04203821656050955
329,1,p_35,23,128,785,0.02929936305732484
330,1,p_36,29,32,785,0.03694267515923567
331,1,p_37,28,43,785,0.035668789808917196
332,1,p_38,17,190,785,0.02165605095541401
333,1,p_39,22,150,785,0.02802547770700637
334,1,p_4,25,94,785,0.03184713375796178
335,1,p_40,30,23,785,0.03821656050955414
336,1,p_41,17,191,785,0.02165605095541401
337,1,p_42,30,24,785,0.03821656050955414
338,1,p_43,26,72,785,0.033121019108280254
339,1,p_44,28,44,785,0.035668789808917196
340,1,p_45,25,95,785,0.03184713375796178
341,1,p_46,24,113,785,0.030573248407643312
342,1,p_47,24,114,785,0.030573248407643312
343,1,p_48,34,5,785,0.04331210191082802
344,1,p_49,33,9,785,0.04203821656050955
345,1,p_5,17,192,785,0.02165605095541401
346,1,p_50,26,73,785,0.033121019108280254
347,1,p_51,40,1,785,0.050955414012738856
348,1,p_52,28,45,785,0.035668789808917196
349,1,p_53,23,129,785,0.02929936305732484
350,1,p_54,22,151,785,0.02802547770700637
351,1,p_55,23,130,785,0.02929936305732484
352,1,p_56,28,46,785,0.035668789808917196
353,1,p_57,23,131,785,0.02929936305732484
354,1,p_58,21,169,785,0.0267515923566879
355,1,p_59,29,33,785,0.03694267515923567
356,1,p_6,23,132,785,0.02929936305732484
357,1,p_60,31,16,785,0.03949044585987261
358,1,p_61,24,115,785,0.030573248407643312
359,1,p_62,21,170,785,0.0267515923566879
360,1,p_63,25,96,785,0.03184713375796178
361,1,p_64,23,133,785,0.02929936305732484
362,1,p_65,27,60,785,0.034394904458598725
363,1,p_66,21,171,785,0.0267515923566879
364,1,p_67,27,61,785,0.034394904458598725
365,1,p_68,19,186,785,0.024203821656050957
366,1,p_69,29,34,785,0.03694267515923567
367,1,p_7,23,134,785,0.02929936305732484
368,1,p_70,17,193,785,0.02165605095541401
369,1,p_71,27,62,785,0.034394904458598725
370,1,p_72,32,13,785,0.04076433121019108
371,1,p_73,25,97,785,0.03184713375796178
372,1,p_74,28,47,785,0.035668789808917196
373,1,p_75,16,194,785,0.02038216560509554
374,1,p_76,21,172,785,0.0267515923566879
375,1,p_77,15,198,785,0.01910828025477707
376,1,p_78,29,35,785,0.03694267515923567
377,1,p_79,14,199,785,0.017834394904458598
378,1,p_8,22,152,785,0.02802547770700637
379,1,p_80,40,2,785,0.050955414012738856
380,1,p_81,19,187,785,0.024203821656050957
381,1,p_82,22,153,785,0.02802547770700637
382,1,p_83,25,98,785,0.03184713375796178
383,1,p_84,28,48,785,0.035668789808917196
384,1,p_85,25,99,785,0.03184713375796178
385,1,p_86,32,14,785,0.04076433121019108
386,1,p_87,22,154,785,0.02802547770700637
387,1,p_88,20,179,785,0.025477707006369428
388,1,p_89,22,155,785,0.02802547770700637
389,1,p_9,29,36,785,0.03694267515923567
390,1,p_90,22,156,785,0.02802547770700637
391,1,p_91,20,180,785,0.025477707006369428
392,1,p_92,31,17,785,0.03949044585987261
393,1,p_93,27,63,785,0.034394904458598725
394,1,p_94,25,100,785,0.03184713375796178
395,1,p_95,22,157,785,0.02802547770700637
396,1,p_96,26,74,785,0.033121019108280254
397,1,p_97,26,75,785,0.033121019108280254
398,1,p_98,24,116,785,0.030573248407643312
399,1,p_99,16,195,785,0.02038216560509554
400,2,p_0,27,79,843,0.03202846975088968
401,2,p_1,35,8,843,0.04151838671411625
402,2,p_10,27,80,843,0.03202846975088968
403,2,p_100,25,119,843,0.02965599051008304
404,2,p_101,27,81,843,0.03202846975088968
405,2,p_102,24,135,843,0.028469750889679714
406,2,p_103,25,120,843,0.02965599051008304
407,2,p_104,28,56,843,0.033214709371293
408,2,p_105,25,121,843,0.02965599051008304
409,2,p_106,18,189,843,0.021352313167259787
410,2,p_107,37,4,843,0.04389086595492289
411,2,p_108,17,195,843,0.020166073546856466
412,2,p_109,24,136,843,0.028469750889679714
413,2,p_11,23,150,843,0.027283511269276393
414,2,p_110,25,122,843,0.02965599051008304
415,2,p_111,28,57,843,0.033214709371293
416,2,p_112,24,137,843,0.028469750889679714
417,2,p_113,26,98,843,0.03084223013048636
418,2,p_114,21,171,843,0.02491103202846975
419,2,p_115,22,161,843,0.02609727164887307
420,2,p_116,25,123,843,0.02965599051008304
421,2,p_117,34,11,843,0.04033214709371293
422,2,p_118,28,58,843,0.033214709371293
423,2,p_119,32,25,843,0.03795966785290629
424,2,p_12,29,49,843,0.03440094899169632
425,2,p_120,28,59,843,0.033214709371293
426,2,p_121,27,82,843,0.03202846975088968
427,2,p_122,20,179,843,0.02372479240806643
428,2,p_123,28,60,843,0.033214709371293
429,2,p_124,30,41,843,0.03558718861209965
430,2,p_125,24,138,843,0.028469750889679714
431,2,p_126,28,61,843,0.033214709371293
432,2,p_127,35,9,843,0.04151838671411625
433,2,p_128,34,12,843,0.04033214709371293
434,2,p_129,25,124,843,0.02965599051008304
435,2,p_13,23,151,843,0.027283511269276393
436,2,p_130,33,14,843,0.03914590747330961
437,2,p_131,31,36,843,0.036773428232502965
438,2,p_132,27,83,843,0.03202846975088968
439,2,p_133,25,125,843,0.02965599051008304
440,2,p_134,26,99,843,0.03084223013048636
441,2,p_135,27,84,843,0.03202846975088968
442,2,p_136,33,15,843,0.03914590747330961
443,2,p_137,26,100,843,0.03084223013048636
444,2,p_138,29,50,843,0.03440094899169632
445,2,p_139,22,162,843,0.02609727164887307
446,2,p_14,24,139,843,0.028469750889679714
447,2,p_140,22,163,843,0.02609727164887307
448,2,p_141,27,85,843,0.03202846975088968
449,2,p_142,24,140,843,0.028469750889679714
450,2,p_143,22,164,843,0.02609727164887307
451,2,p_144,23,152,843,0.027283511269276393
452,2,p_145,25,126,843,0.02965599051008304
453,2,p_146,23,153,843,0.027283511269276393
454,2,p_147,32,26,843,0.03795966785290629
455,2,p_148,27,86,843,0.03202846975088968
456,2,p_149,33,16,843,0.03914590747330961
457,2,p_15,20,180,843,0.02372479240806643
458,2,p_150,30,42,843,0.03558718861209965
459,2,p_151,32,27,843,0.03795966785290629
460,2,p_152,15,200,843,0.017793594306049824
461,2,p_153,20,181,843,0.02372479240806643
462,2,p_154,30,43,843,0.03558718861209965
463,2,p_155,24,141,843,0.028469750889679714
464,2,p_156,21,172,843,0.02491103202846975
465,2,p_157,27,87,843,0.03202846975088968
466,2,p_158,25,127,843,0.02965599051008304
467,2,p_159,26,101,843,0.03084223013048636
468,2,p_16,27,88,843,0.03202846975088968
469,2,p_160,28,62,843,0.033214709371293
470,2,p_161,33,17,843,0.03914590747330961
471,2,p_162,30,44,843,0.03558718861209965
472,2,p_163,27,89,843,0.03202846975088968
473,2,p_164,28,63,843,0.033214709371293
474,2,p_165,25,128,843,0.02965599051008304
475,2,p_166,25,129,843,0.02965599051008304
476,2,p_167,30,45,843,0.03558718861209965
477,2,p_168,24,142,843,0.028469750889679714
478,2,p_169,36,5,843,0.042704626334519574
479,2,p_17,23,154,843,0.027283511269276393
480,2,p_170,25,130,843,0.02965599051008304
481,2,p_171,25,131,843,0.02965599051008304
482,2,p_172,26,102,843,0.03084223013048636
483,2,p_173,28,64,843,0.033214709371293
484,2,p_174,36,6,843,0.042704626334519574
485,2,p_175,28,65,843,0.033214709371293
486,2,p_176,29,51,843,0.03440094899169632
487,2,p_177,26,103,843,0.03084223013048636
488,2,p_178,22,165,843,0.02609727164887307
489,2,p_179,42,1,843,0.0498220640569395
490,2,p_18,21,173,843,0.02491103202846975
491,2,p_180,27,90,843,0.03202846975088968
492,2,p_181,26,104,843,0.03084223013048636
493,2,p_182,24,143,843,0.028469750889679714
494,2,p_183,24,144,843,0.028469750889679714
495,2,p_184,32,28,843,0.03795966785290629
496,2,p_185,25,132,843,0.02965599051008304
497,2,p_186,18,190,843,0.021352313167259787
498,2,p_187,22,166,843,0.02609727164887307
499,2,p_188,18,191,843,0.021352313167259787
500,2,p_189,28,66,843,0.033214709371293
501,2,p_19,33,18,843,0.03914590747330961
502,2,p_190,24,145,843,0.028469750889679714
503,2,p_191,28,67,843,0.033214709371293
504,2,p_192,33,19,843,0.03914590747330961
505,2,p_193,22,167,843,0.02609727164887307
506,2,p_194,18,192,843,0.021352313167259787
507,2,p_195,16,198,843,0.018979833926453145
508,2,p_196,27,91,843,0.03202846975088968
509,2,p_197,33,20,843,0.03914590747330961
510,2,p_198,26,105,843,0.03084223013048636
511,2,p_199,26,106,843,0.03084223013048636
512,2,p_2,30,46,843,0.03558718861209965
513,2,p_20,19,186,843,0.022538552787663108
514,2,p_21,23,155,843,0.027283511269276393
515,2,p_22,26,107,843,0.03084223013048636
516,2,p_23,33,21,843,0.03914590747330961
517,2,p_24,28,68,843,0.033214709371293
518,2,p_25,16,199,843,0.018979833926453145
519,2,p_26,26,108,843,0.03084223013048636
520,2,p_27,26,109,843,0.03084223013048636
521,2,p_28,36,7,843,0.042704626334519574
522,2,p_29,30,47,843,0.03558718861209965
523,2,p_3,31,37,843,0.036773428232502965
524,2,p_30,29,52,843,0.03440094899169632
525,2,p_31,28,69,843,0.033214709371293
526,2,p_32,27,92,843,0.03202846975088968
527,2,p_33,29,53,843,0.03440094899169632
528,2,p_34,32,29,843,0.03795966785290629
529,2,p_35,21,174,843,0.02491103202846975
530,2,p_36,28,70,843,0.033214709371293
531,2,p_37,23,156,843,0.027283511269276393
532,2,p_38,20,182,843,0.02372479240806643
533,2,p_39,21,175,843,0.02491103202846975
534,2,p_4,28,71,843,0.033214709371293
535,2,p_40,32,30,843,0.03795966785290629
536,2,p_41,27,93,843,0.03202846975088968
537,2,p_42,29,54,843,0.03440094899169632
538,2,p_43,33,22,843,0.03914590747330961
539,2,p_44,25,133,843,0.02965599051008304
540,2,p_45,25,134,843,0.02965599051008304
541,2,p_46,24,146,843,0.028469750889679714
542,2,p_47,28,72,843,0.033214709371293
543,2,p_48,20,183,843,0.02372479240806643
544,2,p_49,18,193,843,0.021352313167259787
545,2,p_5,23,157,843,0.027283511269276393
546,2,p_50,32,31,843,0.03795966785290629
547,2,p_51,28,73,843,0.033214709371293
548,2,p_52,35,10,843,0.04151838671411625
549,2,p_53,26,110,843,0.03084223013048636
550,2,p_54,29,55,843,0.03440094899169632
551,2,p_55,28,74,843,0.033214709371293
552,2,p_56,20,184,843,0.02372479240806643
553,2,p_57,32,32,843,0.03795966785290629
554,2,p_58,26,111,843,0.03084223013048636
555,2,p_59,33,23,843,0.03914590747330961
556,2,p_6,21,176,843,0.02491103202846975
557,2,p_60,21,177,843,0.02491103202846975
558,2,p_61,26,112,843,0.03084223013048636
559,2,p_62,24,147,843,0.028469750889679714
560,2,p_63,27,94,843,0.03202846975088968
561,2,p_64,19,187,843,0.022538552787663108
562,2,p_65,33,24,843,0.03914590747330961
563,2,p_66,28,75,843,0.033214709371293
564,2,p_67,32,33,843,0.03795966785290629
565,2,p_68,26,113,843,0.03084223013048636
566,2,p_69,32,34,843,0.03795966785290629
567,2,p_7,31,38,843,0.036773428232502965
568,2,p_70,23,158,843,0.027283511269276393
569,2,p_71,26,114,843,0.03084223013048636
570,2,p_72,26,115,843,0.03084223013048636
571,2,p_73,18,194,843,0.021352313167259787
572,2,p_74,28,76,843,0.033214709371293
573,2,p_75,26,116,843,0.03084223013048636
574,2,p_76,27,95,843,0.03202846975088968
575,2,p_77,21,178,843,0.02491103202846975
576,2,p_78,24,148,843,0.028469750889679714
577,2,p_79,19,188,843,0.022538552787663108
578,2,p_8,32,35,843,0.03795966785290629
579,2,p_80,20,185,843,0.02372479240806643
580,2,p_81,30,48,843,0.03558718861209965
581,2,p_82,22,168,843,0.02609727164887307
582,2,p_83,17,196,843,0.020166073546856466
583,2,p_84,31,39,843,0.036773428232502965
584,2,p_85,24,149,843,0.028469750889679714
585,2,p_86,26,117,843,0.03084223013048636
586,2,p_87,27,96,843,0.03202846975088968
587,2,p_88,17,197,843,0.020166073546856466
588,2,p_89,26,118,843,0.03084223013048636
589,2,p_9,38,2,843,0.045077105575326216
590,2,p_90,22,169,843,0.02609727164887307
591,2,p_91,34,13,843,0.04033214709371293
592,2,p_92,38,3,843,0.045077105575326216
593,2,p_93,23,159,843,0.027283511269276393
594,2,p_94,22,170,843,0.02609727164887307
595,2,p_95,28,77,843,0.033214709371293
596,2,p_96,23,160,843,0.027283511269276393
597,2,p_97,28,78,843,0.033214709371293
598,2,p_98,31,40,843,0.036773428232502965
599,2,p_99,27,97,843,0.03202846975088968
600,3,p_0,23,127,823,0.027946537059538274
601,3,p_1,23,128,823,0.027946537059538274
602,3,p_10,25,96,823,0.030376670716889428
603,3,p_100,24,113,823,0.02916160388821385
604,3,p_101,29,45,823,0.03523693803159174
605,3,p_102,19,177,823,0.023086269744835967
606,3,p_103,32,15,823,0.038882138517618466
607,3,p_104,20,169,823,0.024301336573511544
608,3,p_105,20,170,823,0.024301336573511544
609,3,p_106,21,158,823,0.02551640340218712
610,3,p_107,20,171,823,0.024301336573511544
611,3,p_108,26,79,823,0.031591737545565005
612,3,p_109,32,16,823,0.038882138517618466
613,3,p_11,17,194,823,0.020656136087484813
614,3,p_110,22,138,823,0.026731470230862697
615,3,p_111,29,46,823,0.03523693803159174
616,3,p_112,22,139,823,0.026731470230862697
617,3,p_113,27,69,823,0.032806804374240585
618,3,p_114,26,80,823,0.031591737545565005
619,3,p_115,26,81,823,0.031591737545565005
620,3,p_116,32,17,823,0.038882138517618466
621,3,p_117,24,114,823,0.02916160388821385
622,3,p_118,24,115,823,0.02916160388821385
623,3,p_119,25,97,823,0.030376670716889428
624,3,p_12,22,140,823,0.026731470230862697
625,3,p_120,28,60,823,0.03402187120291616
626,3,p_121,23,129,823,0.027946537059538274
627,3,p_122,36,2,823,0.04374240583232078
628,3,p_123,31,25,823,0.03766707168894289
629,3,p_124,29,47,823,0.03523693803159174
630,3,p_125,22,141,823,0.026731470230862697
631,3,p_126,27,70,823,0.032806804374240585
632,3,p_127,21,159,823,0.02551640340218712
633,3,p_128,27,71,823,0.032806804374240585
634,3,p_129,26,82,823,0.031591737545565005
635,3,p_13,35,4,823,0.0425273390036452
636,3,p_130,26,83,823,0.031591737545565005
