,client,recency_segment,frequency_segment,monetary_segment,segments,segments_numeric,frequency,recency,monetary
95,u_101110,4,3,3,loyal customers,1,909.0,350,32.25
96,u_101119,2,5,5,at risk,7,39.0,994,10.33
97,u_101137,3,4,2,potential loyalist,2,474.0,711,34.62
98,u_101147,5,4,5,loyal customers,1,292.0,72,20.14
99,u_101158,5,1,3,new customers,3,1901.0,8,33.230000000000004
100,u_101167,1,4,5,lost,10,360.0,1589,16.892500000000002
101,u_10120,5,2,2,new customers,3,1065.0,51,36.8575
102,u_101209,2,3,5,at risk,7,889.0,939,19.065
103,u_101216,1,4,4,lost,10,285.0,1524,27.285000000000004
104,u_101219,5,3,1,others,11,707.0,243,42.79
105,u_101224,3,3,1,others,11,638.0,862,42.88
106,u_101245,3,5,2,potential loyalist,2,44.0,824,35.001666666666665
107,u_101247,5,2,2,new customers,3,1201.0,157,35.1125
108,u_101248,2,3,3,need attention,5,669.0,1164,32.5925
109,u_10125,4,5,5,loyal customers,1,98.0,320,15.01
110,u_101278,1,5,3,lost,10,82.0,1357,31.8225
111,u_101298,5,3,3,loyal customers,1,792.0,48,28.045
112,u_101309,3,3,2,potential loyalist,2,708.0,817,39.7775
113,u_101318,5,3,5,loyal customers,1,910.0,11,16.651666666666667
114,u_101326,5,1,5,new customers,3,1508.0,100,15.1275
115,u_101337,1,5,2,lost,10,212.0,1497,40.650000000000006
116,u_101380,4,3,4,loyal customers,1,780.0,517,20.6425
117,u_101418,3,4,4,loyal customers,1,438.0,604,25.55
118,u_10145,2,3,1,others,11,696.0,992,43.5725
119,u_101465,5,1,2,new customers,3,1714.0,101,38.405
120,u_101492,4,3,5,loyal customers,1,782.0,346,16.445
121,u_101503,1,5,4,lost,10,144.0,1561,20.9375
122,u_101505,2,3,2,need attention,5,622.0,1277,37.92
123,u_101525,5,4,4,loyal customers,1,311.0,10,24.819999999999997
124,u_10153,4,5,4,loyal customers,1,196.0,320,26.2375
125,u_101532,2,4,2,others,11,352.0,1160,36.315
126,u_101546,3,4,3,loyal customers,1,364.0,797,32.3475
127,u_101559,4,3,3,loyal customers,1,840.0,513,29.924999999999997
128,u_101596,5,1,4,new customers,3,1748.0,172,21.75
129,u_101599,5,2,4,new customers,3,1118.0,11,23.01
130,u_1016,4,4,3,loyal customers,1,577.0,553,30.3025
131,u_101603,4,4,2,potential loyalist,2,576.0,316,35.985
132,u_101615,5,2,3,new customers,3,1257.0,2,28.160000000000004
133,u_101619,3,3,3,loyal customers,1,642.0,850,28.5075
134,u_101622,1,5,3,lost,10,116.0,1520,32.355000000000004
135,u_101639,4,2,4,others,11,1105.0,340,27.137500000000003
136,u_101644,4,4,1,others,11,360.0,554,46.815
137,u_101665,2,3,5,at risk,7,914.0,936,10.595
138,u_101668,3,4,3,loyal customers,1,562.0,840,32.91
139,u_101680,5,5,5,champions,0,218.66666666666666,193,15.807500000000001
140,u_101684,4,2,3,others,11,1250.0,457,31.085
141,u_101695,3,3,4,loyal customers,1,709.0,683,26.515
142,u_1017,3,2,2,promising,4,1151.0,779,36.692499999999995
143,u_101700,5,3,3,loyal customers,1,653.0,267,31.103333333333335
144,u_101711,3,4,4,loyal customers,1,574.0,724,21.6
145,u_101733,5,2,2,new customers,3,1150.0,241,39.652499999999996
146,u_101737,4,5,3,loyal customers,1,75.0,409,29.6625
147,u_101739,5,4,2,potential loyalist,2,407.0,122,36.708333333333336
148,u_101755,4,5,4,loyal customers,1,215.0,460,24.0975
149,u_101783,5,3,5,loyal customers,1,662.0,241,13.686666666666667
150,u_101797,2,3,4,at risk,7,861.0,998,26.7325
151,u_101798,5,3,2,potential loyalist,2,856.5,124,34.88666666666666
152,u_101818,5,3,3,loyal customers,1,647.0,35,32.215
153,u_101823,4,2,5,others,11,1010.0,554,18.905
154,u_101829,1,5,5,can`t lose them,8,147.0,1613,11.2625
155,u_101836,5,3,4,loyal customers,1,690.5,35,25.77
156,u_101842,4,3,3,loyal customers,1,746.5,338,29.96166666666667
157,u_101849,5,5,5,champions,0,111.0,8,19.990000000000002
158,u_101872,5,3,1,others,11,809.0,130,46.1725
159,u_101889,1,4,2,lost,10,379.0,1313,40.177499999999995
160,u_101896,3,3,2,potential loyalist,2,758.0,681,34.4925
161,u_101907,1,5,4,lost,10,265.0,1416,22.090000000000003
162,u_101927,5,4,3,loyal customers,1,577.0,13,30.567500000000003
163,u_101947,4,5,5,loyal customers,1,186.5,492,19.583333333333332
164,u_101951,5,3,3,loyal customers,1,892.0,27,32.605
165,u_101960,4,5,3,loyal customers,1,159.0,432,33.97
166,u_101972,4,1,3,others,11,1333.0,504,28.0925
167,u_101999,4,4,2,potential loyalist,2,416.0,504,39.705
168,u_10201,4,1,1,promising,4,1538.0,361,46.864999999999995
169,u_102010,4,4,3,loyal customers,1,371.0,560,33.20666666666667
170,u_10202,2,4,3,at risk,7,284.0,963,33.575
171,u_102049,3,4,2,potential loyalist,2,506.0,846,35.925
172,u_102052,3,3,5,loyal customers,1,607.0,723,18.0425
173,u_102061,5,2,4,new customers,3,1009.0,74,25.5575
174,u_102077,4,3,4,loyal customers,1,789.0,460,23.9975
175,u_102087,3,3,3,loyal customers,1,842.0,866,29.945
176,u_102099,5,3,5,loyal customers,1,628.0,240,15.48
177,u_102103,1,4,2,lost,10,408.0,1468,35.0075
178,u_102112,4,3,4,loyal customers,1,740.5,318,24.718333333333334
179,u_102115,4,1,3,others,11,1513.0,288,31.637500000000003
180,u_102118,1,4,2,lost,10,419.0,1512,34.8575
181,u_102128,1,4,4,lost,10,315.0,1515,20.5025
182,u_102129,5,2,4,new customers,3,1248.0,271,25.7875
183,u_102149,2,5,3,at risk,7,73.0,1008,28.7925
184,u_102155,4,5,4,loyal customers,1,197.5,576,24.635
185,u_102170,4,1,3,others,11,1366.0,317,30.7675
186,u_102171,4,1,2,promising,4,1392.0,336,38.447500000000005
187,u_102194,5,3,4,loyal customers,1,729.0,122,26.4925
188,u_102196,3,5,3,loyal customers,1,172.0,678,30.725
189,u_102204,1,4,1,lost,10,503.0,1398,56.7675
190,u_102208,3,4,1,others,11,505.0,820,49.28
191,u_102211,4,5,5,loyal customers,1,194.5,289,13.028333333333334
192,u_102236,5,4,3,loyal customers,1,334.0,270,33.705
193,u_102246,4,3,3,loyal customers,1,636.5,315,32.074999999999996
194,u_102255,4,5,5,loyal customers,1,41.0,324,15.017500000000002
195,u_102259,4,3,4,loyal customers,1,828.0,349,25.7575
196,u_102277,2,5,3,at risk,7,113.0,1068,33.5775
197,u_102291,1,5,3,lost,10,20.0,1662,33.47
198,u_102295,5,1,3,new customers,3,1521.0,145,32.5375
199,u_102302,5,5,2,potential loyalist,2,2.0,262,39.6425
200,u_102316,2,4,3,at risk,7,309.0,1083,31.259999999999998
201,u_102320,1,4,2,lost,10,354.0,1497,38.662499999999994
202,u_102326,5,3,4,loyal customers,1,860.0,220,27.177500000000002
203,u_102327,5,5,4,loyal customers,1,89.0,155,21.630000000000003
204,u_102333,5,4,5,loyal customers,1,383.0,74,17.695
205,u_102357,3,5,5,loyal customers,1,87.0,681,11.3625
206,u_102366,2,5,2,others,11,135.0,1186,35.28
207,u_102371,5,4,3,loyal customers,1,332.0,51,28.8575
208,u_102381,4,4,4,loyal customers,1,301.0,564,27.085
209,u_102416,1,5,4,lost,10,121.0,1832,21.814999999999998
210,u_102426,2,5,4,at risk,7,225.5,1108,24.461666666666662
211,u_102442,5,2,2,new customers,3,948.0,15,41.682500000000005
212,u_102446,2,4,4,at risk,7,405.0,1274,21.2775
213,u_102451,3,4,2,potential loyalist,2,414.0,739,41.0925
214,u_102456,4,5,4,loyal customers,1,62.0,480,24.865
215,u_102459,3,4,3,loyal customers,1,554.5,723,32.045
216,u_10248,4,5,5,loyal customers,1,192.0,385,13.1175
217,u_102482,5,4,5,loyal customers,1,291.0,221,20.265
218,u_102488,5,3,2,potential loyalist,2,619.5,225,39.23166666666667
219,u_102505,2,4,2,others,11,365.0,972,39.3575
220,u_102518,5,3,3,loyal customers,1,912.0,52,32.86166666666667
221,u_102522,4,3,2,potential loyalist,2,690.0,415,38.682500000000005
222,u_102533,5,3,3,loyal customers,1,867.0,72,30.3925
223,u_102535,1,3,2,lost,10,652.0,1320,39.2175
224,u_102548,4,4,3,loyal customers,1,358.0,493,31.5675
225,u_102549,3,5,5,loyal customers,1,68.0,865,16.325000000000003
226,u_102577,4,5,2,potential loyalist,2,138.0,580,34.9375
227,u_102589,4,3,2,potential loyalist,2,636.5,388,34.53
228,u_102605,4,5,2,potential loyalist,2,51.0,481,37.635000000000005
229,u_102616,5,5,1,others,11,110.0,158,49.712500000000006
230,u_102637,4,5,3,loyal customers,1,140.0,292,32.5475
231,u_102650,4,3,5,loyal customers,1,828.0,362,15.2375
232,u_102660,3,3,4,loyal customers,1,633.0,773,22.995
233,u_102661,4,2,2,promising,4,1111.0,439,35.2825
234,u_102662,5,1,2,new customers,3,1843.0,14,39.2475
235,u_102696,3,2,5,others,11,974.0,684,17.2575
236,u_10270,5,3,4,loyal customers,1,909.5,10,23.606666666666666
237,u_102703,3,4,2,potential loyalist,2,502.0,701,34.2775
238,u_102727,1,5,3,lost,10,239.0,1562,33.045
239,u_102733,2,3,5,at risk,7,681.0,1075,14.4
240,u_102752,5,3,4,loyal customers,1,810.5,156,22.385
241,u_102755,2,4,3,at risk,7,540.0,1295,29.752499999999998
242,u_102776,5,2,4,new customers,3,933.0,221,24.71
243,u_102781,2,2,2,need attention,5,935.0,1036,36.725
244,u_102790,5,4,5,loyal customers,1,332.0,174,14.6725
245,u_102796,2,4,3,at risk,7,311.0,1081,30.47
246,u_10280,5,4,3,loyal customers,1,521.0,269,29.7075
247,u_102809,5,4,4,loyal customers,1,386.0,153,24.97
248,u_10286,5,1,2,new customers,3,1763.0,14,37.8425
249,u_102862,5,3,3,loyal customers,1,851.0,269,33.94833333333333
250,u_102875,4,3,2,potential loyalist,2,688.0,579,34.294999999999995
251,u_10288,5,3,4,loyal customers,1,858.0,250,21.7725
252,u_102890,5,5,2,potential loyalist,2,69.0,269,40.33
253,u_102909,1,4,4,lost,10,356.0,1472,20.9025
254,u_102912,5,5,4,loyal customers,1,69.0,196,22.4175
255,u_102922,2,3,2,need attention,5,844.0,1059,36.9375
256,u_102946,2,4,2,others,11,430.0,1178,37.2975
257,u_102948,4,2,4,others,11,1117.0,323,26.939999999999998
258,u_102956,4,2,1,promising,4,1069.0,325,44.0375
259,u_102968,2,4,2,others,11,303.0,1185,35.3875
260,u_102979,5,4,4,loyal customers,1,495.0,4,24.316666666666666
261,u_102988,5,3,3,loyal customers,1,815.0,243,28.627499999999998
262,u_1030,1,5,1,lost,10,194.0,1489,46.205
263,u_10300,5,2,4,new customers,3,966.0,54,23.7125
264,u_103008,5,1,5,new customers,3,1367.0,244,18.48
265,u_103026,3,4,2,potential loyalist,2,377.0,755,38.0075
266,u_103041,4,3,4,loyal customers,1,636.0,481,22.341666666666665
267,u_103056,2,4,3,at risk,7,334.0,1085,32.60166666666667
268,u_103102,4,2,2,promising,4,958.0,521,36.879999999999995
269,u_103117,5,1,2,new customers,3,1753.0,194,41.0525
270,u_10313,5,2,3,new customers,3,984.0,100,31.795
271,u_103139,2,4,4,at risk,7,359.0,1155,26.7425
272,u_103142,3,4,2,potential loyalist,2,421.5,677,36.685
273,u_103143,5,4,3,loyal customers,1,387.0,218,29.485
274,u_103147,3,4,2,potential loyalist,2,550.0,747,38.8025
275,u_103149,2,3,5,at risk,7,615.0,1259,18.380000000000003
276,u_10318,2,4,4,at risk,7,465.0,1250,25.2775
277,u_103188,5,2,4,new customers,3,1078.0,29,26.9175
278,u_103195,1,5,3,lost,10,121.0,1738,27.872500000000002
279,u_103218,2,3,2,need attention,5,627.0,1059,38.3925
280,u_103223,4,5,4,loyal customers,1,238.0,318,20.455
281,u_103229,3,5,3,loyal customers,1,168.0,725,30.9525
282,u_103241,4,2,4,others,11,1278.0,577,26.417499999999997
283,u_10325,5,3,4,loyal customers,1,702.0,122,22.853333333333335
284,u_103264,3,3,3,loyal customers,1,651.0,827,29.54
285,u_103276,5,2,2,new customers,3,1021.0,155,35.25
286,u_103283,3,3,3,loyal customers,1,851.0,841,29.775000000000002
287,u_103289,4,4,4,loyal customers,1,375.5,412,23.754999999999995
288,u_103295,5,3,2,potential loyalist,2,781.0,111,35.415
289,u_103300,2,4,5,at risk,7,365.0,1179,15.690000000000001
290,u_103301,1,4,2,lost,10,480.0,1492,34.59
291,u_103304,4,4,2,potential loyalist,2,405.0,535,36.080000000000005
292,u_103308,4,3,3,loyal customers,1,825.0,408,28.322499999999998
293,u_103347,5,2,3,new customers,3,1134.0,216,33.1775
294,u_103409,4,3,3,loyal customers,1,590.0,344,27.87833333333333
295,u_103420,2,4,3,at risk,7,372.0,1130,28.024999999999995
296,u_103438,5,5,3,loyal customers,1,29.0,214,31.0925
297,u_103441,4,3,1,others,11,764.0,317,50.5225
298,u_103451,3,3,5,loyal customers,1,698.0,865,16.4375
299,u_103470,3,4,3,loyal customers,1,375.0,828,27.5425
300,u_103471,3,3,2,potential loyalist,2,617.0,846,35.339999999999996
301,u_103480,1,4,4,lost,10,291.0,1450,21.997500000000002
302,u_103505,3,4,4,loyal customers,1,376.0,932,26.7825
303,u_103517,3,4,3,loyal customers,1,530.0,828,28.4
304,u_103523,2,3,3,need attention,5,740.0,950,28.3575
305,u_103525,3,2,3,need attention,5,1107.0,697,31.5375
306,u_103542,2,3,4,at risk,7,587.0,937,23.04
307,u_103543,1,4,1,lost,10,390.0,1469,47.254999999999995
308,u_103565,4,4,4,loyal customers,1,328.0,276,20.8925
309,u_103566,2,3,3,need attention,5,701.0,1250,30.905
310,u_103567,4,4,1,others,11,528.0,504,42.785
311,u_103581,2,4,2,others,11,371.0,1129,42.0475
312,u_103592,1,4,1,lost,10,470.0,1479,43.5925
313,u_103601,3,2,4,others,11,955.0,700,24.4225
314,u_103611,1,5,2,lost,10,24.0,1332,35.68
315,u_103632,5,5,4,loyal customers,1,143.0,244,21.5225
316,u_103647,3,3,4,loyal customers,1,727.0,796,27.427500000000002
317,u_103679,5,4,2,potential loyalist,2,470.6666666666667,269,34.65625
318,u_103680,3,2,4,others,11,1106.0,843,26.54
319,u_103687,3,4,2,potential loyalist,2,583.0,770,36.89
320,u_103703,2,4,5,at risk,7,501.0,1068,19.62
321,u_103715,4,1,3,others,11,1442.0,299,32.2475
322,u_103731,4,2,4,others,11,1300.0,366,22.5075
323,u_103734,2,5,4,at risk,7,62.0,1190,25.32
324,u_103750,2,4,4,at risk,7,480.0,1034,24.71
325,u_103754,2,4,3,at risk,7,348.0,1177,31.531666666666666
326,u_103761,3,4,2,potential loyalist,2,489.0,769,37.18
327,u_103795,4,1,1,promising,4,1544.0,436,48.9825
328,u_103796,3,3,3,loyal customers,1,700.0,872,28.447499999999998
329,u_103821,5,4,5,loyal customers,1,559.0,243,20.4125
330,u_103836,2,5,2,others,11,128.0,1061,35.3125
331,u_103842,4,5,2,potential loyalist,2,16.0,537,38.6325
332,u_103860,3,2,3,need attention,5,1042.0,903,33.29
333,u_103863,4,5,1,others,11,8.0,544,42.629999999999995
334,u_103873,4,4,4,loyal customers,1,307.0,326,24.405
335,u_103885,2,4,2,others,11,489.0,1178,38.3875
336,u_10390,1,5,4,lost,10,144.0,1754,25.915
337,u_103914,4,2,3,others,11,1125.0,580,33.655
338,u_103916,3,2,5,others,11,1148.0,677,16.7225
339,u_103928,4,2,5,others,11,1276.0,429,14.219999999999999
340,u_10393,4,5,1,others,11,221.0,561,46.6775
341,u_103932,4,3,5,loyal customers,1,864.0,324,16.4275
342,u_103940,5,3,5,loyal customers,1,664.0,158,17.5075
343,u_103963,5,3,3,loyal customers,1,747.0,101,30.317500000000003
344,u_103966,5,3,4,loyal customers,1,818.0,266,23.52
345,u_103978,2,4,4,at risk,7,506.0,1203,24.362499999999997
346,u_103979,3,5,2,potential loyalist,2,28.0,823,41.2225
347,u_103986,3,5,3,loyal customers,1,199.0,793,28.4075
348,u_103988,5,4,2,potential loyalist,2,361.0,155,35.964999999999996
349,u_104,5,3,2,potential loyalist,2,599.0,3,40.3
350,u_104003,5,5,2,potential loyalist,2,112.0,179,36.93
351,u_104006,5,5,3,loyal customers,1,54.0,124,29.085
352,u_104011,3,4,3,loyal customers,1,502.0,699,32.288333333333334
353,u_104015,1,4,4,lost,10,334.0,1522,24.0075
354,u_104024,4,2,4,others,11,1056.0,484,25.7075
355,u_104043,5,2,5,new customers,3,1004.0,196,14.5225
356,u_104050,2,5,2,others,11,30.0,990,41.005
357,u_104057,5,2,3,new customers,3,1102.0,97,33.61
358,u_104095,2,4,4,at risk,7,316.0,1202,24.55
359,u_104114,3,2,5,others,11,1212.0,710,17.735
360,u_104117,4,1,4,others,11,1376.0,386,26.8425
361,u_104122,4,4,4,loyal customers,1,370.0,458,24.1075
362,u_104136,3,4,3,loyal customers,1,425.0,710,30.0475
363,u_104138,3,2,4,others,11,1010.0,605,27.3475
364,u_104149,2,5,4,at risk,7,13.0,1189,23.6625
365,u_104153,2,5,2,others,11,23.0,1178,35.3575
366,u_104167,5,5,3,loyal customers,1,146.0,122,31.19
367,u_104179,4,2,4,others,11,937.0,432,24.674999999999997
368,u_104191,3,2,2,promising,4,963.0,697,41.025
369,u_10420,2,4,2,others,11,504.0,1180,41.82
370,u_104222,3,2,3,need attention,5,1196.0,775,28.372500000000002
371,u_104231,2,3,1,others,11,737.0,1037,67.505
372,u_104234,3,4,5,loyal customers,1,503.0,629,17.01
373,u_104235,5,2,5,new customers,3,1082.0,221,18.19
374,u_104280,5,5,2,potential loyalist,2,172.0,264,39.6325
375,u_104291,4,3,2,potential loyalist,2,824.0,363,37.4375
376,u_104293,4,2,3,others,11,1219.0,512,31.2775
377,u_104311,2,4,4,at risk,7,535.0,1129,24.165
378,u_104337,2,3,4,at risk,7,715.0,1133,27.4025
379,u_104382,5,5,2,potential loyalist,2,213.0,50,35.485
380,u_104385,2,4,2,others,11,359.0,1084,36.269999999999996
381,u_104405,3,4,2,potential loyalist,2,517.0,722,42.205
382,u_10443,5,2,2,new customers,3,971.0,21,35.6475
383,u_104440,4,3,3,loyal customers,1,789.0,393,31.9925
384,u_104442,2,3,4,at risk,7,763.0,1069,23.0975
385,u_104448,4,3,5,loyal customers,1,696.0,579,15.760000000000002
386,u_104451,4,4,2,potential loyalist,2,369.0,490,39.85166666666667
387,u_104464,1,4,4,lost,10,337.0,1328,24.1175
388,u_104479,2,5,4,at risk,7,50.0,941,21.825
389,u_104484,1,5,2,lost,10,140.0,1669,38.5125
390,u_104504,2,3,4,at risk,7,747.0,941,25.862499999999997
391,u_104527,3,3,5,loyal customers,1,902.0,801,10.317499999999999
392,u_104542,4,2,4,others,11,1122.0,509,26.65
393,u_104550,5,3,3,loyal customers,1,852.5,6,34.13166666666667
394,u_104555,4,3,4,loyal customers,1,642.5,421,26.580000000000002
395,u_104557,5,1,2,new customers,3,1654.0,13,37.975
396,u_104561,1,5,4,lost,10,10.0,1850,25.55
397,u_104578,5,4,3,loyal customers,1,288.0,155,30.935000000000002
398,u_104581,3,2,2,promising,4,1033.0,768,40.72
399,u_104590,1,4,2,lost,10,470.0,1494,35.317499999999995
400,u_104591,1,5,4,lost,10,16.0,1522,20.72
401,u_104592,3,5,4,loyal customers,1,25.0,770,23.1025
402,u_104607,4,4,4,loyal customers,1,443.0,337,23.067500000000003
403,u_10461,1,5,4,lost,10,101.0,1368,20.7575
404,u_104611,5,2,1,new customers,3,1007.0,152,46.707499999999996
405,u_104612,5,4,4,loyal customers,1,292.0,49,24.14
406,u_104639,2,3,3,need attention,5,630.0,1201,33.8525
407,u_10465,1,5,3,lost,10,7.0,1347,27.9775
408,u_104657,5,3,2,potential loyalist,2,700.0,216,38.7125
409,u_104690,5,5,2,potential loyalist,2,59.0,220,36.4025
410,u_104719,5,1,3,new customers,3,1489.0,49,29.83
411,u_104736,4,3,4,loyal customers,1,877.0,532,25.6
412,u_104746,3,3,3,loyal customers,1,841.0,842,28.8775
413,u_104749,4,1,2,promising,4,1592.0,312,40.6025
414,u_10475,4,3,3,loyal customers,1,922.0,433,32.83
415,u_104768,1,5,1,lost,10,4.0,1348,58.8975
416,u_104778,4,2,3,others,11,1305.0,361,29.2525
417,u_104784,1,4,4,lost,10,302.0,1560,24.372500000000002
418,u_104795,5,2,4,new customers,3,1089.0,242,24.2
419,u_104801,4,2,4,others,11,1303.0,389,22.1825
420,u_104820,5,3,4,loyal customers,1,630.0,244,26.955000000000002
421,u_104826,1,5,3,lost,10,97.0,1632,33.29
422,u_104835,4,5,3,loyal customers,1,219.0,363,27.9
423,u_104836,2,5,3,at risk,7,155.5,937,28.111666666666665
424,u_104843,5,1,1,new customers,3,1409.0,180,47.17
425,u_104873,5,3,3,loyal customers,1,744.0,101,31.637500000000003
426,u_10489,4,4,3,loyal customers,1,552.0,508,32.34
427,u_104891,4,1,2,promising,4,1521.0,340,38.7275
428,u_104945,5,2,5,new customers,3,1181.0,6,16.45
429,u_104952,4,4,3,loyal customers,1,380.0,343,33.84
430,u_104953,2,3,5,at risk,7,785.0,1016,11.475000000000001
431,u_104985,3,3,3,loyal customers,1,651.0,914,34.205
432,u_104997,4,2,4,others,11,1129.0,437,25.8525
433,u_1050,4,2,4,others,11,1216.0,491,25.369999999999997
434,u_105014,5,5,4,loyal customers,1,151.0,271,22.6525
435,u_105015,3,4,1,others,11,484.0,913,43.605000000000004
436,u_105036,2,3,3,need attention,5,716.0,1162,27.7425
437,u_105041,4,1,2,promising,4,1458.0,368,38.19
438,u_10506,4,2,5,others,11,1166.0,541,17.200000000000003
439,u_105060,1,5,4,lost,10,23.0,1731,24.064999999999998
