,hours,category,order_count,product_cat_order_count_rank,hourly_total_orders,hourly_order_ratio
174,17,p_c_4,3474,7,8163,0.4255788313120176
175,17,p_c_5,3300,9,8163,0.40426313855200297
176,17,p_c_6,4327,3,8163,0.5300747274286415
177,17,p_c_7,5246,1,8163,0.6426558863163053
178,17,p_c_8,4818,2,8163,0.5902241822859243
179,17,p_c_9,3929,5,8163,0.4813181428396423
180,18,p_c_1,7847,5,16963,0.4625950598361139
181,18,p_c_10,8465,4,16963,0.49902729470022994
182,18,p_c_2,7141,8,16963,0.4209750633732241
183,18,p_c_3,5129,10,16963,0.30236396863762305
184,18,p_c_4,7154,7,16963,0.4217414372457702
185,18,p_c_5,6940,9,16963,0.40912574426693393
186,18,p_c_6,8670,3,16963,0.5111124211519189
187,18,p_c_7,10729,1,16963,0.6324942521959559
188,18,p_c_8,9994,2,16963,0.5891646524789247
189,18,p_c_9,7737,6,16963,0.45611035783764664
190,19,p_c_1,7872,5,17011,0.46275939098230556
191,19,p_c_10,8485,4,17011,0.49879489741931693
192,19,p_c_2,7236,7,17011,0.42537181823525955
193,19,p_c_3,5176,10,17011,0.3042737052495444
194,19,p_c_4,7198,8,17011,0.42313796954911526
195,19,p_c_5,6814,9,17011,0.4005643407207101
196,19,p_c_6,8759,3,17011,0.5149021221562519
197,19,p_c_7,10874,1,17011,0.6392334371877021
198,19,p_c_8,9985,2,17011,0.5869731350302745
199,19,p_c_9,7820,6,17011,0.4597025454117924
200,20,p_c_1,7745,6,16896,0.4583925189393939
201,20,p_c_10,8404,4,16896,0.4973958333333333
202,20,p_c_2,7209,7,16896,0.4266690340909091
203,20,p_c_3,5044,10,16896,0.29853219696969696
204,20,p_c_4,7113,8,16896,0.4209872159090909
205,20,p_c_5,6847,9,16896,0.4052438446969697
206,20,p_c_6,8705,3,16896,0.5152107007575758
207,20,p_c_7,10741,1,16896,0.6357125946969697
208,20,p_c_8,9840,2,16896,0.5823863636363636
209,20,p_c_9,7835,5,16896,0.4637192234848485
210,21,p_c_1,7752,6,16989,0.45629524986756137
211,21,p_c_10,8429,4,16989,0.496144564129731
212,21,p_c_2,7126,8,16989,0.41944787803873096
213,21,p_c_3,5155,10,16989,0.3034316322326211
214,21,p_c_4,7275,7,16989,0.42821825887338866
215,21,p_c_5,6915,9,16989,0.4070280769909942
216,21,p_c_6,8708,3,16989,0.5125669550885867
217,21,p_c_7,10934,1,16989,0.6435929130613927
218,21,p_c_8,9933,2,16989,0.584672435105068
219,21,p_c_9,7778,5,16989,0.457825651892401
220,22,p_c_1,7748,6,17077,0.4537096679744686
221,22,p_c_10,8506,4,17077,0.49809685541957016
222,22,p_c_2,7196,8,17077,0.4213854892545529
223,22,p_c_3,5054,10,17077,0.2959536218305323
224,22,p_c_4,7311,7,17077,0.42811969315453535
225,22,p_c_5,6935,9,17077,0.40610177431633193
226,22,p_c_6,8882,3,17077,0.5201147742577736
227,22,p_c_7,10828,1,17077,0.6340692159044329
228,22,p_c_8,10043,2,17077,0.5881009545002049
229,22,p_c_9,8002,5,17077,0.46858347484921237
230,23,p_c_1,6817,5,14886,0.45794706435577054
231,23,p_c_10,7233,4,14886,0.48589278516727125
232,23,p_c_2,6315,8,14886,0.4242241031841999
233,23,p_c_3,4474,10,14886,0.3005508531506113
234,23,p_c_4,6332,7,14886,0.4253661158135161
235,23,p_c_5,6014,9,14886,0.4040037619239554
236,23,p_c_6,7584,3,14886,0.509471987101975
237,23,p_c_7,9401,1,14886,0.6315329840118232
238,23,p_c_8,8690,2,14886,0.583769985221013
239,23,p_c_9,6769,6,14886,0.45472255810828965
